timestamp,src_pcell_cid,src_pcell_freq,src_nrcell_cid,src_nrcell_freq,src_scell1_cid,src_scell1_freq,src_scell2_cid,src_scell2_freq,src_scell3_cid,src_scell3_freq,src_nr_scell1_cid,src_nr_scell1_freq,src_nr_scell2_cid,src_nr_scell2_freq,src_nr_scell3_cid,src_nr_scell3_freq,dst_pcell_cid,dst_pcell_freq,dst_nrcell_cid,dst_nrcell_freq,dst_scell1_cid,dst_scell1_freq,dst_scell2_cid,dst_scell2_freq,dst_scell3_cid,dst_scell3_freq,dst_nr_scell1_cid,dst_nr_scell1_freq,dst_nr_scell2_cid,dst_nr_scell2_freq,dst_nr_scell3_cid,dst_nr_scell3_freq,nr_release_flag,rrc_release_flag,nr_off_event_flag,nr_onoff_event_type,last_nr_scell_modification_ts,seconds_since_last_scell_modification,serving_cell_meas_result,serving_cell_min_meas_result,serving_cell_min_meas_result_num,lte_serving_cell_meas_result,lte_serving_cell_min_meas_result,lte_serving_cell_min_meas_result_num,nr_pcell_handover_flag,nr_scell_modification_flag,removed_scell_cid,removed_scell_freq,added_scell_cid,added_scell_freq,removed_scell_rsrp,removed_scell_rsrq,removed_scell_snr,added_scell_rsrp,added_scell_rsrq,added_scell_snr,scell_modification_flag,scell_modification_success_flag,scell_modification_failure_ts,lte_mcg_failure_flag,nr_scg_failure_flag,timestamp_gap_flag,timestamp_gap_offset,timestamp_fixed_flag,timestamp_after_fix,timestamp_ms,lat,lon,dst_is_5g,dst_rat,dst_cell_num_5g_4g,dst_channel_count,src_is_5g,src_rat,src_cell_num_5g_4g,src_channel_count,5g_recovery_timestamp,is_5g_sequence,rat_sequence,cell_num_sequence,channel_count_sequence,onoff_type,ts_dl_thput_0mbps_last,ts_dl_thput_0mbps_next,ts_dl_thput_0.1mbps_last,ts_dl_thput_0.1mbps_next,ts_dl_thput_1mbps_last,ts_dl_thput_1mbps_next,data_disruption_time_0mbps,data_disruption_time_0.1mbps,data_disruption_time_1mbps,extra_data_disruption_time_0mbps,extra_data_disruption_time_0.1mbps,extra_data_disruption_time_1mbps,added_scell_cid_computed,poor_serving_cell_flag,silent_serving_cell_flag,silent_serving_cell,last_handover_before_failure,cause,problematic_cell_cid,problematic_cell_freq,lte_pcell_handover_flag,pcell_nr_usage_flag,nr_start_timestamp,last_nr_start_ts,thput_10_nr_on,thput_25_nr_on,thput_50_nr_on,thput_75_nr_on,thput_90_nr_on,thput_avg_nr_on,thput_10_nr_off,thput_25_nr_off,thput_50_nr_off,thput_75_nr_off,thput_90_nr_off,thput_avg_nr_off,thput_loss,thput_loss_ratio,nr_on_duration,nr_off_duration,last_timestamp,min_rsrp_50,min_rsrq_50,min_rsrq_cid,min_rsrq_freq,rsrp_50_pcell,rsrq_50_pcell,rsrp_50_nrcell,rsrq_50_nrcell,file_path,location
1744913926.73,289.0,850.0,906.0,658080.0,274.0,1150.0,,,,,906.0,632736.0,,,,,380.0,5815.0,,,,,,,,,,,,,,,1,0,1,type2,,,pcell-906-658080-299--108.0--14.84/scell1-906-632736-298--101.71--11.88/scell2-None-None-None-None-None/scell3-None-None-None-None-None,906-632736,298.0,ltepcell-289-850-446--106.38--17.13/ltescell1-274-1150-265--107.13--15.69/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,274-1150,265.0,1,0,,,,,,,,,,,0,1,,,,0,,0,1744913926.73,1744913926700.0,40.42465,-86.86773000000002,False,LTE,0/1,5815:1,True,5G NSA,2/2,850:1|658080:1|1150:1|632736:1,1744913928.394,True->False->False->False->True,5G NSA->LTE->LTE->LTE->5G NSA,2/2->0/1->0/1->0/4->1/4,850:1|658080:1|1150:1|632736:1->5815:1->5815:1->850:1|1150:1|65535:2->850:1|174770:1|1150:1|65535:2,N1,1744913926.3999546,1744913928.4999526,1744913926.3999546,1744913928.4999526,1744913926.3999546,1744913928.4999526,2.0999979972839355,2.0999979972839355,2.0999979972839355,0.105952501296997,0.105952501296997,0.105952501296997,"[(5815, 380)]",False,True,"[(1150, 274), (850, 289), (5815, 380)]",1744913926.73,N1E3,380.0,5815.0,1.0,0.0,1744913878.8,1744913878.8,43.85,65.66,92.04,129.445,147.695,94.60672916666668,0.11,0.16,0.26,26.81,102.52,26.239375,91.78,0.9971751412429378,47.9300000667572,1.6640000343322754,1744913878.8,-109.295,-14.54,906.0,632736.0,-107.38,-15.63,-109.295,-14.54,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-6.csv,
1744913963.35,289.0,850.0,201.0,174770.0,274.0,1150.0,,,,,201.0,658080.0,,,,,380.0,5815.0,,,,,,,,,,,,,,,1,0,1,type2,,,pcell-201-174770-53--87.35--13.06/scell1-201-658080-52--96.62--12.75/scell2-None-None-None-None-None/scell3-None-None-None-None-None,201-658080,52.0,ltepcell-289-850-114--109.75--19.38/ltescell1-274-1150-49--108.94--17.38/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,274-1150,49.0,1,0,,,,,,,,,,,0,1,,,,0,,0,1744913963.35,1744913963400.0,40.42482,-86.8707967,False,LTE,0/1,5815:1,True,5G NSA,2/2,850:1|174770:1|1150:1|658080:1,1744913964.656,True->False->True,5G NSA->LTE->5G NSA,2/2->0/1->2/1,850:1|174770:1|1150:1|658080:1->5815:1->5145:1|632736:1|658080:1,N1,1744913962.9999197,1744913964.699918,1744913962.9999197,1744913964.699918,1744913962.9999197,1744913964.699918,1.699998378753662,1.699998378753662,1.699998378753662,0.0439181327819824,0.0439181327819824,0.0439181327819824,"[(5815, 380)]",False,True,"[(1150, 274), (850, 289), (5815, 380)]",1744913963.35,N1E3,380.0,5815.0,1.0,0.0,1744913954.839,1744913928.394,12.17,18.7575,27.42,40.67,46.27,29.23606936416185,1.97,3.33,5.31,15.76,38.634,14.452307692307691,22.110000000000003,0.8063457330415755,34.95599985122681,1.305999994277954,1744913954.839,-97.795,-14.03,201.0,658080.0,-108.31,-17.75,-91.04,-14.03,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-6.csv,
1744914380.005,289.0,850.0,906.0,632736.0,274.0,1150.0,,,,,906.0,658080.0,,,,,47.0,850.0,,,146.0,9820.0,305.0,65535.0,305.0,65535.0,,,,,,,1,0,1,type2,,,pcell-906-632736-1253--86.39--10.49/scell1-906-658080-1249--91.52--10.96/scell2-None-None-None-None-None/scell3-None-None-None-None-None,906-658080,1249.0,ltepcell-289-850-2735--89.94--18.50/ltescell1-274-1150-2490--88.69--17.94/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,274-1150,2490.0,1,0,,,,,,,,,,,0,1,,,,0,,0,1744914380.005,1744914380000.0,40.41907,-86.85821999999996,False,LTE,0/4,850:1|9820:1|65535:2,True,5G NSA,2/2,850:1|632736:1|1150:1|658080:1,1744914380.472,True->False->True,5G NSA->LTE->5G NSA,2/2->0/4->1/3,850:1|632736:1|1150:1|658080:1->850:1|9820:1|65535:2->850:1|174770:1|65535:2,N1,1744914379.5995224,1744914380.4995215,1744914379.5995224,1744914380.5995214,1744914379.5995224,1744914380.5995214,0.8999991416931152,0.9999990463256836,0.9999990463256836,0.0275216102600097,0.1275215148925781,0.1275215148925781,"[(850, 47), (65535, 305), (9820, 146)]",False,True,"[(1150, 274), (850, 289), (9820, 146), (850, 47), (65535, 305)]",1744914380.005,N1E3,47.0,850.0,1.0,1.0,1744914179.1320002,1744913964.656,43.17,67.21,93.64,119.68,143.57,94.31019522776572,22.122,43.155,65.295,75.75,75.75,53.61,28.345,0.3027018368218709,415.3490002155304,0.4669997692108154,1744914179.1320002,-89.03999999999999,-10.715,906.0,658080.0,-86.845,-14.44,-87.52000000000001,-10.66,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-6.csv,
1744921719.835,49.0,66486.0,53.0,632736.0,,,,,,,53.0,658080.0,,,,,310.0,66486.0,,,47.0,850.0,470.0,1150.0,305.0,65535.0,,,,,,,1,0,1,type2,,,pcell-53-632736-45--112.11--16.49/scell1-53-658080-45--112.91--18.67/scell2-None-None-None-None-None/scell3-None-None-None-None-None,53-658080,45.0,ltepcell-49-66486-97--116.50--23.69/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1744921719.835,1744921719800.0,40.4188989,-86.8742089,False,LTE,0/4,66486:1|850:1|1150:1|65535:1,True,5G NSA,2/1,66486:1|632736:1|658080:1,1744921720.224,True->False->True,5G NSA->LTE->5G NSA,2/1->0/4->1/4,66486:1|632736:1|658080:1->66486:1|850:1|1150:1|65535:1->66486:1|174770:1|850:1|1150:1|65535:1,N1,1744921719.3997293,1744921720.2997284,1744921719.3997293,1744921720.599728,1744921719.3997293,1744921721.0997276,0.8999991416931152,1.1999988555908203,1.699998378753662,0.0757284164428711,0.3757281303405761,0.875727653503418,"[(66486, 310), (850, 47), (65535, 305), (1150, 470)]",False,True,"[(66486, 310), (66486, 49), (1150, 470), (850, 47), (65535, 305)]",1744921719.835,N1E3,310.0,66486.0,1.0,1.0,1744921712.62,1744921435.414,37.37,58.92,81.17,102.395,120.01000000000012,79.95752025361044,10.519000000000002,20.6125,26.22,26.22,26.22,20.6125,54.95,0.6769742515707774,284.4210000038147,0.3889999389648437,1744921712.62,-110.485,-18.135,53.0,658080.0,-113.69,-20.0,-110.46,-15.955,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-4.csv,
1744923340.4870002,289.0,850.0,906.0,658080.0,274.0,1150.0,,,,,906.0,632736.0,,,,,47.0,850.0,,,146.0,9820.0,305.0,65535.0,310.0,65535.0,,,,,,,1,0,1,type2,,,pcell-906-658080-768--97.84--11.69/scell1-906-632736-767--93.14--10.68/scell2-None-None-None-None-None/scell3-None-None-None-None-None,906-632736,767.0,ltepcell-289-850-1385--100.63--19.25/ltescell1-274-1150-837--101.69--17.56/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,274-1150,837.0,1,0,,,,,,,,,,,0,1,,,,0,,0,1744923340.4870002,1744923340500.0,40.4201156,-86.8606444,False,LTE,0/4,850:1|9820:1|65535:2,True,5G NSA,2/2,850:1|658080:1|1150:1|632736:1,1744923340.923,True->False->True,5G NSA->LTE->5G NSA,2/2->0/4->1/3,850:1|658080:1|1150:1|632736:1->850:1|9820:1|65535:2->850:1|174770:1|65535:2,N1,1744923340.0981836,1744923340.9981828,1744923340.0981836,1744923340.9981828,1744923340.0981836,1744923341.098183,0.8999991416931152,0.8999991416931152,0.9999990463256836,0.0751826763153076,0.0751826763153076,0.1751825809478759,"[(850, 47), (65535, 310), (65535, 305), (9820, 146)]",False,True,"[(1150, 274), (850, 289), (65535, 310), (9820, 146), (850, 47), (65535, 305)]",1744923340.4870002,N1E3,47.0,850.0,1.0,1.0,1744923217.551,1744922972.064,47.135000000000005,74.415,129.29,193.17,258.405,141.41040711700845,46.72,46.72,80.43,169.62,169.62,102.62200000000004,48.85999999999999,0.3779101245262587,368.42300033569336,0.4359998703002929,1744923217.551,-99.04,-11.525,906.0,632736.0,-98.44,-16.06,-99.04,-11.525,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-4.csv,
1744924539.349,1.0,66486.0,62.0,174770.0,1.0,850.0,1.0,1150.0,1.0,65535.0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,type2,,,pcell-62-174770-1--100.41--14.67/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,,,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,1-65535,0.0,1,0,,,,,,,,,,,0,1,,handoverFailure,,0,,0,1744924539.349,1744924539300.0,40.41734,-86.8767622,False,IDLE,0/0,,True,5G NSA,1/4,66486:1|174770:1|850:1|1150:1|65535:1,1744924541.949,True->False->False->False->False->True,5G NSA->IDLE->LTE->LTE->LTE->5G NSA,1/4->0/0->0/4->0/3->0/3->2/2,66486:1|174770:1|850:1|1150:1|65535:1->->66486:1|850:1|1150:1|65535:1->66486:1|1150:1|65535:1->66486:1|1150:1|65535:1->66486:1|658080:1|65535:1|174770:1,N2,1744924537.7997482,1744924541.9997442,1744924535.5997505,1744924541.9997442,1744924535.4997504,1744924541.9997442,4.199995994567871,6.399993896484375,6.499993801116943,0.0507442951202392,0.0507442951202392,0.0507442951202392,[],False,True,"[(850, 1), (66486, 1), (1150, 1), (65535, 1)]",1744924538.824,N2E2,1.0,66486.0,0.0,0.0,1744924538.824,1744924273.823,3.39,5.51,10.0,18.52,29.35400000000006,13.766509988249116,0.0,0.0,0.0,0.1575,0.21,0.063,10.0,1.0,265.5260000228882,2.5999999046325684,1744924538.824,-100.215,-13.62,62.0,174770.0,0.0,0.0,-100.215,-13.62,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-5.csv,
1744924557.019,49.0,66486.0,201.0,658080.0,,,,,,,201.0,632736.0,,,,,310.0,66486.0,,,470.0,1150.0,146.0,9820.0,305.0,65535.0,,,,,,,1,0,1,type2,,,pcell-201-658080-29--108.88--14.31/scell1-201-632736-29--113.54--16.53/scell2-None-None-None-None-None/scell3-None-None-None-None-None,201-632736,29.0,ltepcell-49-66486-58--125.19--24.00/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1744924557.019,1744924557000.0,40.41669,-86.87725,False,LTE,0/4,66486:1|1150:1|9820:1|65535:1,True,5G NSA,2/1,66486:1|658080:1|632736:1,1744924557.525,True->False->True,5G NSA->LTE->5G NSA,2/1->0/4->1/4,66486:1|658080:1|632736:1->66486:1|1150:1|9820:1|65535:1->66486:1|174770:1|850:1|1150:1|65535:1,N1,1744924556.5997305,1744924557.5997293,1744924556.5997305,1744924557.5997293,1744924556.4997303,1744924557.999729,0.9999990463256836,0.9999990463256836,1.4999985694885254,0.0747292041778564,0.0747292041778564,0.4747288227081299,"[(66486, 310), (1150, 470), (65535, 305), (9820, 146)]",False,True,"[(66486, 310), (66486, 49), (1150, 470), (9820, 146), (65535, 305)]",1744924557.019,N1E3,310.0,66486.0,1.0,1.0,1744924552.421,1744924541.949,6.08,14.15,25.39,46.6,66.798,32.20496402877698,0.05,0.05,71.98,71.98,74.146,43.93000000000001,-46.59,-1.8349743993698304,15.070000171661375,0.5060000419616699,1744924552.421,-112.3,-16.23,201.0,632736.0,-119.31,-20.06,-111.55,-16.23,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-5.csv,AP15
1744911651.879,12.0,850.0,742.0,174770.0,,,,,,,742.0,658080.0,,,,,458.0,850.0,,,331.0,5145.0,275.0,65535.0,437.0,65535.0,,,,,,,1,0,1,type2,,,pcell-742-174770-171--114.66--24.98/scell1-742-658080-170--83.29--10.98/scell2-None-None-None-None-None/scell3-None-None-None-None-None,742-658080,170.0,ltepcell-12-850-297--115.25--23.31/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1744911651.879,1744911651900.0,40.42621,-86.9034,False,LTE,0/4,850:1|5145:1|65535:2,True,5G NSA,2/1,850:1|174770:1|658080:1,1744911652.7770002,True->False->True,5G NSA->LTE->5G NSA,2/1->0/4->2/2,850:1|174770:1|658080:1->850:1|5145:1|65535:2->850:1|632736:1|1150:1|658080:1,N1,1744911651.4996667,1744911652.7996657,1744911649.999668,1744911652.7996657,1744911649.999668,1744911652.7996657,1.299998760223389,2.799997329711914,2.799997329711914,0.02266526222229,0.02266526222229,0.02266526222229,"[(850, 458), (65535, 437), (65535, 275), (5145, 331)]",True,True,"[(65535, 275), (5145, 331), (850, 12), (850, 458), (65535, 437)]",1744911651.879,N1E3,458.0,850.0,1.0,1.0,1744911624.006,1744911302.006,18.2,35.8075,68.17500000000001,261.555,499.0090000000002,168.92256880733947,0.0,2.05,5.45,17.97,17.97,7.656666666666666,62.72500000000001,0.92005867253392,349.8729999065399,0.8980002403259277,1744911624.006,-92.76,-13.8,742.0,658080.0,-107.88,-16.75,-92.76,-13.8,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-1.csv,
1744913153.505,220.0,66936.0,742.0,658080.0,,,,,,,354.0,632736.0,,,,,470.0,5815.0,,,,,,,,,,,,,,,1,0,1,type2,,,pcell-742-658080-36--107.58--14.85/scell1-354-632736-35--106.73--13.97/scell2-None-None-None-None-None/scell3-None-None-None-None-None,354-632736,35.0,ltepcell-220-66936-69--111.88--18.25/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1744913153.505,1744913153500.0,40.42485,-86.86756329999999,False,LTE,0/1,5815:1,True,5G NSA,2/1,66936:1|658080:1|632736:1,1744913154.457,True->False->False->True,5G NSA->LTE->LTE->5G NSA,2/1->0/1->0/4->1/4,66936:1|658080:1|632736:1->5815:1->850:1|1150:1|9820:1|65535:1->850:1|174770:1|1150:1|65535:2,N1,1744913153.0996237,1744913154.4996223,1744913153.0996237,1744913154.5996222,1744913152.699624,1744913155.0996218,1.399998664855957,1.4999985694885254,2.3999977111816406,0.0426223278045654,0.1426222324371338,0.6426217555999756,"[(5815, 470)]",False,True,"[(5815, 470), (66936, 220)]",1744913153.505,N1E3,470.0,5815.0,1.0,0.0,1744913147.821,1744912758.3720002,42.075,69.48,102.17,140.2,172.2870000000001,105.2007682555781,1.05,1.05,1.57,18.77,36.35,12.947777777777778,100.6,0.9846334540471764,395.1329998970032,0.9519999027252196,1744913147.821,-111.43,-15.6,354.0,632736.0,-109.53,-17.06,-111.43,-15.6,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-2.csv,
1744917176.252,67.0,66936.0,62.0,174770.0,436.0,850.0,,,,,,,,,,,470.0,5815.0,,,,,,,,,,,,,,,1,0,1,type2,,,pcell-62-174770-1--100.36--16.29/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,,,ltepcell-67-66936-1--114.00--22.88/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,436-850,0.0,1,0,,,,,,,,,,,0,1,,,,0,,0,1744917176.252,1744917176300.0,40.41738,-86.8783878,False,LTE,0/1,5815:1,True,5G NSA,1/2,66936:1|174770:1|850:1,1744917180.457,True->False->False->False->False->True,5G NSA->LTE->IDLE->LTE->LTE->5G NSA,1/2->0/1->0/0->0/4->0/4->2/2,66936:1|174770:1|850:1->5815:1->->66486:1|850:1|9820:1|65535:1->66486:1|850:1|1150:1|65535:1->66486:1|658080:1|65535:1|632736:1,N2,1744917175.8998635,1744917180.499859,1744917174.9998646,1744917180.499859,1744917174.899865,1744917181.4998584,4.5999956130981445,5.49999475479126,6.599993705749512,0.0428593158721923,0.0428593158721923,1.042858362197876,"[(5815, 470)]",False,True,"[(5815, 470), (850, 436), (66936, 67)]",1744917176.252,N2E1,67.0,66936.0,1.0,0.0,1744917176.1829998,1744917032.8720002,1.6,2.33,3.9,5.795,9.214000000000002,4.829923017705928,0.0,0.0,0.09,0.8,5.524999999999998,1.305,3.81,0.976923076923077,143.37999987602234,4.204999923706055,1744917176.1829998,-101.28,-16.23,62.0,174770.0,-115.06,-22.88,-101.28,-16.23,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250417-a/onoff/onoff_rss_a-dr-dl-3.csv,AP14
