timestamp,src_pcell_cid,src_pcell_freq,src_nrcell_cid,src_nrcell_freq,src_scell1_cid,src_scell1_freq,src_scell2_cid,src_scell2_freq,src_scell3_cid,src_scell3_freq,src_nr_scell1_cid,src_nr_scell1_freq,src_nr_scell2_cid,src_nr_scell2_freq,src_nr_scell3_cid,src_nr_scell3_freq,dst_pcell_cid,dst_pcell_freq,dst_nrcell_cid,dst_nrcell_freq,dst_scell1_cid,dst_scell1_freq,dst_scell2_cid,dst_scell2_freq,dst_scell3_cid,dst_scell3_freq,dst_nr_scell1_cid,dst_nr_scell1_freq,dst_nr_scell2_cid,dst_nr_scell2_freq,dst_nr_scell3_cid,dst_nr_scell3_freq,nr_release_flag,rrc_release_flag,nr_off_event_flag,nr_onoff_event_type,last_nr_scell_modification_ts,seconds_since_last_scell_modification,serving_cell_meas_result,serving_cell_min_meas_result,serving_cell_min_meas_result_num,lte_serving_cell_meas_result,lte_serving_cell_min_meas_result,lte_serving_cell_min_meas_result_num,nr_pcell_handover_flag,nr_scell_modification_flag,removed_scell_cid,removed_scell_freq,added_scell_cid,added_scell_freq,removed_scell_rsrp,removed_scell_rsrq,removed_scell_snr,added_scell_rsrp,added_scell_rsrq,added_scell_snr,scell_modification_flag,scell_modification_success_flag,scell_modification_failure_ts,lte_mcg_failure_flag,nr_scg_failure_flag,timestamp_gap_flag,timestamp_gap_offset,timestamp_fixed_flag,timestamp_after_fix,timestamp_ms,lat,lon,dst_is_5g,dst_rat,dst_cell_num_5g_4g,dst_channel_count,src_is_5g,src_rat,src_cell_num_5g_4g,src_channel_count,5g_recovery_timestamp,is_5g_sequence,rat_sequence,cell_num_sequence,channel_count_sequence,onoff_type,added_scell_cid_computed,poor_serving_cell_flag,silent_serving_cell_flag,silent_serving_cell,last_handover_before_failure,cause,problematic_cell_cid,problematic_cell_freq,nr_start_timestamp,last_nr_start_ts,thput_10_nr_on,thput_25_nr_on,thput_50_nr_on,thput_75_nr_on,thput_90_nr_on,thput_avg_nr_on,thput_10_nr_off,thput_25_nr_off,thput_50_nr_off,thput_75_nr_off,thput_90_nr_off,thput_avg_nr_off,thput_loss,thput_loss_ratio,nr_on_duration,nr_off_duration,last_timestamp,min_rsrp_50,min_rsrq_50,min_rsrq_cid,min_rsrq_freq,rsrp_50_pcell,rsrq_50_pcell,rsrp_50_nrcell,rsrq_50_nrcell,file_path,ts_dl_thput_0mbps_last,ts_dl_thput_0mbps_next,ts_dl_thput_0.1mbps_last,ts_dl_thput_0.1mbps_next,ts_dl_thput_1mbps_last,ts_dl_thput_1mbps_next,data_disruption_time_0mbps,data_disruption_time_0.1mbps,data_disruption_time_1mbps,extra_data_disruption_time_0mbps,extra_data_disruption_time_0.1mbps,extra_data_disruption_time_1mbps,lte_pcell_handover_flag,pcell_nr_usage_flag,location
1735315370.591,,,540.0,521310.0,,,,,,,309.0,387410.0,309.0,398410.0,540.0,501390.0,,,,,,,,,,,,,,,,,1,0,1,type3,1735315364.896,5.695000171661377,pcell-540-521310-70--74.77--10.3/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,540-501390,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735315370.591,1735315370600.0,40.423141,-86.9069175,False,IDLE,0/0,,True,5G SA,4/0,521310:1|387410:1|398410:1|501390:1,1735315381.449,True->False->False->True,5G SA->IDLE->LTE->5G SA,4/0->0/0->0/1->1/0,521310:1|387410:1|398410:1|501390:1->->5035:1->125290:1,S1,[],False,True,"[(398410, 309), (387410, 309), (501390, 540)]",,S1E1,309.0,398410.0,1735315364.896,1735314589.431,29.583,66.1,119.27,247.69,392.1510000000001,165.92551485922837,0.0,0.0,0.0,0.0,0.0,0.0,119.27,1.0,781.1600000858307,10.857999801635742,1735315364.896,-79.0,-12.5,540.0,501390.0,0.0,0.0,-73.52,-10.38,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-home-campus.csv,,,,,,,,,,,,,,,
1735316627.507,,,393.0,501390.0,,,,,,,371.0,387410.0,273.0,398410.0,393.0,521310.0,,,,,,,,,,,,,,,,,1,0,1,type3,1735316624.12,3.38700008392334,pcell-393-501390-42--84.69--11.05/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,273-398410,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735316627.507,1735316627500.0,40.4274936,-86.91721240000003,False,IDLE,0/0,,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1735316639.311,True->False->False->True,5G SA->IDLE->LTE->5G SA,4/0->0/0->0/1->1/0,501390:1|387410:1|398410:1|521310:1->->5035:1->125290:1,S1,[],False,True,"[(398410, 273), (521310, 393), (387410, 371)]",,S1E1,273.0,398410.0,1735316624.12,1735315381.449,57.09,130.49,319.545,571.1474999999999,728.4590000000001,358.4524026183934,0.0,0.0,0.0,0.0,0.0,0.0,319.545,1.0,1246.058000087738,11.80400013923645,1735316624.12,-140.0,-30.0,273.0,398410.0,0.0,0.0,-85.315,-11.01,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-home-campus.csv,,,,,,,,,,,,,,,TP6
1735317675.673,,,393.0,501390.0,,,,,,,371.0,387410.0,273.0,398410.0,393.0,521310.0,294.0,5035.0,,,,,,,,,,,,,,,1,0,1,type1,1735317676.401,-0.7279999256134033,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,371-387410,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,1,-0.9190001487731934,1,1735317686.6290002,1735317675700.0,40.427507,-86.917334,False,LTE,0/1,5035:1,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1735317687.43,True->False->True,5G SA->LTE->5G SA,4/0->0/1->1/0,501390:1|387410:1|398410:1|521310:1->5035:1->125290:1,S1,"[(5035, 294)]",False,True,"[(398410, 273), (521310, 393), (387410, 371), (501390, 393), (5035, 294)]",1735317686.6290002,S1E3,371.0,387410.0,1735317687.357,1735317628.949,73.873,156.805,508.325,711.8325,775.802,451.3313736263736,0.0,0.0,0.0,0.0,0.0,0.0,508.325,1.0,57.68000030517578,0.8009998798370361,1735317687.357,0.0,0.0,371.0,387410.0,0.0,0.0,0.0,0.0,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-campus-1.csv,,,,,,,,,,,,,,,TP6
1735331113.137,,,790.0,521310.0,,,,,,,273.0,387410.0,273.0,398410.0,790.0,501390.0,,,,,,,,,,,,,,,,,1,0,1,type1,1735331113.121,0.0160000324249267,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,273-387410,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735331113.137,1735331113100.0,40.4321956,-86.9105248,False,IDLE,0/0,,True,5G SA,4/0,521310:1|387410:1|398410:1|501390:1,1735331124.366,True->False->False->True,5G SA->IDLE->LTE->5G SA,4/0->0/0->0/1->1/0,521310:1|387410:1|398410:1|501390:1->->5035:1->521310:1,S1,[],False,True,"[(398410, 273), (387410, 273), (501390, 790), (521310, 790)]",1735331113.121,S1E3,273.0,387410.0,1735331113.121,1735330123.596,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,989.5410001277924,11.228999853134155,1735331113.121,-108.0,-18.0,273.0,387410.0,0.0,0.0,-93.03,-10.8,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-campus-3.csv,,,,,,,,,,,,,,,TP27
1735332889.816,,,393.0,501390.0,,,,,,,371.0,387410.0,273.0,398410.0,393.0,521310.0,,,,,,,,,,,,,,,,,1,0,1,type1,1735332889.793,0.0230000019073486,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,371-387410,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735332889.816,1735332889800.0,40.4274071,-86.91722270000002,False,IDLE,0/0,,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1735332900.609,True->False->False->False->True,5G SA->IDLE->LTE->LTE->5G SA,4/0->0/0->0/1->0/1->1/0,501390:1|387410:1|398410:1|521310:1->->5035:1->1001:1->125290:1,S1,[],False,True,"[(398410, 273), (521310, 393), (387410, 371), (501390, 393)]",1735332889.793,S1E3,371.0,387410.0,1735332889.793,1735331124.366,84.798,137.765,189.79,229.435,321.84,200.01271942446044,0.0,0.0,0.0,0.0,0.0,0.0038947368421052,189.79,1.0,1765.4500000476835,10.792999982833862,1735332889.793,-78.45,-11.0,371.0,387410.0,0.0,0.0,-78.45,-10.75,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-campus-3.csv,,,,,,,,,,,,,,,TP6
1735322343.216,,,393.0,501390.0,,,,,,,273.0,387410.0,273.0,398410.0,393.0,521310.0,294.0,5035.0,,,,,,,,,,,,,,,1,0,1,type3,1735322321.213,22.003000020980835,pcell-393-501390-268--75.41--10.4/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,393-521310,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735322343.216,1735322343200.0,40.4273371,-86.9172037,False,LTE,0/1,5035:1,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1735322345.361,True->False->False->False->False->True,5G SA->LTE->LTE->LTE->LTE->5G NSA,4/0->0/1->0/3->0/1->0/3->1/3,501390:1|387410:1|398410:1|521310:1->5035:1->5035:1|1001:1|65535:1->1001:1->1001:1|65535:2->1001:1|125290:1|65535:2,S1,"[(5035, 294)]",False,True,"[(398410, 273), (387410, 273), (521310, 393), (5035, 294)]",1735322343.216,S1E3,273.0,398410.0,1735322321.213,1735322271.336,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,71.88000011444092,2.1449999809265137,1735322321.213,-79.29499999999999,-10.65,393.0,521310.0,0.0,0.0,-79.29499999999999,-10.65,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-campus-2.csv,,,,,,,,,,,,,,,TP6
1735323309.081,,,790.0,501390.0,,,,,,,273.0,387410.0,808.0,398410.0,790.0,521310.0,,,,,,,,,,,,,,,,,1,0,1,type1,1735323309.058,0.0230000019073486,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,273-387410,0.0,ltepcell-None-None-None-None-None/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1735323309.081,1735323309100.0,40.431899,-86.91051999999998,False,IDLE,0/0,,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1735323320.612,True->False->False->False->True,5G SA->IDLE->LTE->LTE->5G SA,4/0->0/0->0/1->0/1->1/0,501390:1|387410:1|398410:1|521310:1->->5035:1->66736:1->521310:1,S1,[],False,True,"[(398410, 808), (501390, 790), (387410, 273), (521310, 790)]",1735323309.058,S1E3,273.0,387410.0,1735323309.058,1735322345.361,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,963.7200000286102,11.530999898910522,1735323309.058,0.0,0.0,273.0,387410.0,0.0,0.0,0.0,0.0,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20241227/onoff/onoff_rss_t-uldl-both-campus-2.csv,,,,,,,,,,,,,,,TP27
1743522782.302,,,104.0,501390.0,,,,,,,273.0,387410.0,273.0,398410.0,104.0,521310.0,,,,,,,,,,,,,,,,,1,0,1,type1,1743522782.2870002,0.0150001049041748,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,273-387410,0.0,,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1743522782.302,1743522782300.0,40.42816,-86.91735,False,IDLE,0/0,,True,5G SA,4/0,501390:1|387410:1|398410:1|521310:1,1743522782.302,True->False->True,5G SA->IDLE->5G SA,4/0->0/0->1/0,501390:1|387410:1|398410:1|521310:1->->501390:1,S1,[],False,True,"[(398410, 273), (387410, 273), (501390, 104), (521310, 104)]",1743522782.2870002,S1E3,273.0,387410.0,1743522782.2870002,1743522719.62,59.95900000000001,96.3025,152.3,238.415,307.58100000000024,169.85392976588628,0.0,0.0,0.0,0.0,0.0,0.0,152.3,1.0,62.682000160217285,0.0,1743522782.2870002,-83.395,-13.12,273.0,387410.0,0.0,0.0,-83.395,-12.335,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250401-spatial/onoff/onoff_rss_t-sp31-dl-3.csv,1743522781.8999336,1743522793.2999227,1743522781.8999336,1743522796.19992,1743522781.8999336,1743522796.19992,11.399989128112791,14.299986362457275,14.299986362457275,10.997922658920288,13.89791989326477,13.89791989326477,0.0,0.0,
1743522784.985,,,104.0,501390.0,,,,,,,,,,,,,294.0,5035.0,,,,,,,,,,,,,,,1,0,1,type2,1743522782.2870002,2.6979999542236333,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,,,,,,1,0,,,,,,,,,,,0,1,,,,1,2.547999858856201,1,1743522793.0849998,1743522793100.0,40.42816,-86.91735,False,LTE,0/1,5035:1,True,5G SA,1/0,501390:1,1743522793.415,True->False->True,5G SA->LTE->5G SA,1/0->0/1->1/0,501390:1->5035:1->126270:1,S1,"[(5035, 294)]",False,True,"[(501390, 104), (5035, 294)]",1743522793.0849998,S1E3,104.0,501390.0,1743522782.302,1743522782.302,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,10.782999753952026,0.3300001621246338,1743522782.302,0.0,0.0,104.0,501390.0,0.0,0.0,0.0,0.0,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250401-spatial/onoff/onoff_rss_t-sp31-dl-3.csv,1743522781.8999336,1743522793.4999225,1743522781.8999336,1743522796.19992,1743522781.8999336,1743522796.19992,11.59998893737793,14.299986362457275,14.299986362457275,0.0849225521087646,2.7849199771881104,2.7849199771881104,0.0,0.0,
1743520329.959,,,104.0,521310.0,,,,,,,273.0,387410.0,273.0,398410.0,104.0,501390.0,,,,,,,,,,,,,,,,,1,0,1,type1,1743520329.944,0.0150001049041748,pcell-None-None-None-None-None/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,273-387410,0.0,,,,1,0,,,,,,,,,,,0,1,,,,0,,0,1743520329.959,1743520330000.0,40.42789000000001,-86.91723,False,IDLE,0/0,,True,5G SA,4/0,521310:1|387410:1|398410:1|501390:1,1743520340.467,True->False->True,5G SA->IDLE->5G SA,4/0->0/0->1/0,521310:1|387410:1|398410:1|501390:1->->521310:1,S1,[],False,True,"[(398410, 273), (387410, 273), (501390, 104), (521310, 104)]",1743520329.944,S1E3,273.0,387410.0,1743520329.944,1743520327.6360002,33.556,40.78,75.55,92.08,110.704,72.84894736842105,0.0,0.0,0.0,0.0,0.0,0.0,75.55,1.0,2.322999954223633,10.507999897003174,1743520329.944,-90.355,-12.94,273.0,387410.0,0.0,0.0,-89.46000000000001,-12.38,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250401-spatial/onoff/onoff_rss_t-sp30-dl-2.csv,1743520329.599991,1743520340.6999805,1743520329.599991,1743520343.0999782,1743520329.599991,1743520343.0999782,11.099989414215088,13.499987125396729,13.499987125396729,0.2329804897308349,2.632978200912476,2.632978200912476,0.0,0.0,TP6
