timestamp,src_pcell_cid,src_pcell_freq,src_nrcell_cid,src_nrcell_freq,src_scell1_cid,src_scell1_freq,src_scell2_cid,src_scell2_freq,src_scell3_cid,src_scell3_freq,src_nr_scell1_cid,src_nr_scell1_freq,src_nr_scell2_cid,src_nr_scell2_freq,src_nr_scell3_cid,src_nr_scell3_freq,dst_pcell_cid,dst_pcell_freq,dst_nrcell_cid,dst_nrcell_freq,dst_scell1_cid,dst_scell1_freq,dst_scell2_cid,dst_scell2_freq,dst_scell3_cid,dst_scell3_freq,dst_nr_scell1_cid,dst_nr_scell1_freq,dst_nr_scell2_cid,dst_nr_scell2_freq,dst_nr_scell3_cid,dst_nr_scell3_freq,nr_release_flag,rrc_release_flag,nr_off_event_flag,nr_onoff_event_type,last_nr_scell_modification_ts,seconds_since_last_scell_modification,serving_cell_meas_result,serving_cell_min_meas_result,serving_cell_min_meas_result_num,lte_serving_cell_meas_result,lte_serving_cell_min_meas_result,lte_serving_cell_min_meas_result_num,nr_pcell_handover_flag,nr_scell_modification_flag,removed_scell_cid,removed_scell_freq,added_scell_cid,added_scell_freq,removed_scell_rsrp,removed_scell_rsrq,removed_scell_snr,added_scell_rsrp,added_scell_rsrq,added_scell_snr,scell_modification_flag,scell_modification_success_flag,scell_modification_failure_ts,lte_mcg_failure_flag,nr_scg_failure_flag,timestamp_gap_flag,timestamp_gap_offset,timestamp_fixed_flag,timestamp_after_fix,timestamp_ms,lat,lon,dst_is_5g,dst_rat,dst_cell_num_5g_4g,dst_channel_count,src_is_5g,src_rat,src_cell_num_5g_4g,src_channel_count,5g_recovery_timestamp,is_5g_sequence,rat_sequence,cell_num_sequence,channel_count_sequence,onoff_type,ts_dl_thput_0mbps_last,ts_dl_thput_0mbps_next,ts_dl_thput_0.1mbps_last,ts_dl_thput_0.1mbps_next,ts_dl_thput_1mbps_last,ts_dl_thput_1mbps_next,data_disruption_time_0mbps,data_disruption_time_0.1mbps,data_disruption_time_1mbps,extra_data_disruption_time_0mbps,extra_data_disruption_time_0.1mbps,extra_data_disruption_time_1mbps,added_scell_cid_computed,poor_serving_cell_flag,silent_serving_cell_flag,silent_serving_cell,last_handover_before_failure,cause,problematic_cell_cid,problematic_cell_freq,lte_pcell_handover_flag,pcell_nr_usage_flag,nr_start_timestamp,last_nr_start_ts,thput_10_nr_on,thput_25_nr_on,thput_50_nr_on,thput_75_nr_on,thput_90_nr_on,thput_avg_nr_on,thput_10_nr_off,thput_25_nr_off,thput_50_nr_off,thput_75_nr_off,thput_90_nr_off,thput_avg_nr_off,thput_loss,thput_loss_ratio,nr_on_duration,nr_off_duration,last_timestamp,min_rsrp_50,min_rsrq_50,min_rsrq_cid,min_rsrq_freq,rsrp_50_pcell,rsrq_50_pcell,rsrp_50_nrcell,rsrq_50_nrcell,file_path,location
1746116446,363,66836,264,648672,363,65535,,,,,264,653952,,,,,363,66836,,,363,65535,363,65535,,,,,,,,,1,0,1,type2,,,pcell-264-648672-16--122.9--16.43/scell1-264-653952-15--125.9--17.27/scell2-None-None-None-None-None/scell3-None-None-None-None-None,264-653952,15,ltepcell-363-66836-63--90.81--7.38/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,363-65535,0,1,0,,,,,,,,,,,0,1,,,,0,,0,1746116446,1.74612E+12,40.41694,-86.87036,FALSE,LTE,0/3,66836:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|65535:1|653952:1,1746116478,True->False->True,5G NSA->LTE->5G NSA,2/2->0/3->2/2,66836:1|648672:1|65535:1|653952:1->66836:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1746116445,1746116478,1746116445,1746116478,1746116423,1746116478,32.59996891,32.59996891,55.19994736,0.095821381,0.095821381,0.095821381,[],TRUE,TRUE,"[(65535, 363), (66836, 363)]",,N1E1,264,648672,0,1,1746116443,1746116291,12.614,28.8525,66.965,101.91,134.098,70.32779706,26.12,66.24,77.12,95.21,125.5,79.2195873,-10.155,-0.151646382,155.7310002,31.42400002,1746116443,-125.57,-17.16,264,653952,-89.81,-9.19,-124.28,-17.84,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250501-v/onoff/onoff_rss_v-vsp2p17-dl-1.csv,
1746122917,363,66836,30,648672,363,65535,,,,,30,653952,,,,,363,66836,,,363,65535,363,65535,,,,,,,,,1,0,1,type3,,,pcell-30-648672-2--115.16--12.71/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,30-653952,0,ltepcell-363-66836-2--101.56--8.44/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,363-65535,0,1,0,,,,,,,,,,,0,1,,,randomAccessProblem,0,,0,1746122917,1.74612E+12,40.41884,-86.87109,FALSE,LTE,0/3,66836:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|65535:1|653952:1,1746122919,True->False->True,5G NSA->LTE->5G NSA,2/2->0/3->2/2,66836:1|648672:1|65535:1|653952:1->66836:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1746122915,1746122919,1746122915,1746122919,1746122915,1746122919,3.799996376,4.399995804,4.399995804,0.076928139,0.076928139,0.076928139,[],FALSE,TRUE,"[(65535, 363), (66836, 363), (653952, 30)]",1746122917,N1E2,30,648672,0,1,1746122917,1746122844,6.7,18.26,33.4,59.24,103.1,44.79697642,29.09,33.4775,45.55,67.48,98.614,53.54727273,-12.15,-0.363772455,73.38400006,2.129999876,1746122917,-118.39,-15.6,30,653952,-95.53,-8.875,-122.02,-16.2,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250501-v/onoff/onoff_rss_v-vsp2p27-dl-3.csv,
1745525188,309,66836,347,648672,309,65535,,,,,347,653952,,,,,309,66836,,,17,1075,309,65535,309,65535,,,,,,,1,0,1,type2,,,pcell-347-648672-56--124.13--16.34/scell1-347-653952-55--122.84--14.45/scell2-None-None-None-None-None/scell3-None-None-None-None-None,347-653952,55,ltepcell-309-66836-64--86.31--12.81/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,309-65535,0,1,0,,,,,,,,,,,0,1,,,,0,,0,1745525188,1.74553E+12,40.42661,-86.90848,FALSE,LTE,0/4,66836:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|65535:1|653952:1,1745525194,True->False->False->True,5G NSA->LTE->LTE->5G NSA,2/2->0/4->0/4->2/2,66836:1|648672:1|65535:1|653952:1->66836:1|1075:1|65535:2->66836:1|1075:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1745525187,1745525194,1745525187,1745525194,1745525187,1745525194,7.099993229,7.099993229,7.099993229,0.045965433,0.045965433,0.045965433,"[(1075, 17)]",TRUE,TRUE,"[(65535, 309), (66836, 309), (1075, 17)]",1745525188,N1E1,347,648672,0,1,1745525179,1745525158,16.75,26.85,49.78,69.82,95.822,53.49385185,34.86,45.91,86.46,144.7,181.21,97.45044776,-36.68,-0.736842105,29.58300018,6.686999798,1745525179,-122.62,-14.45,347,653952,-86.44,-11.81,-124.13,-16.34,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-vptmp2-dl-2.csv,VP5
1745525218,309,66836,158,648672,309,65535,,,15,1075,158,653952,,,,,309,66836,,,17,1075,309,65535,309,65535,,,,,,,1,0,1,type3,,,pcell-158-648672-2--108.63--13.45/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,158-653952,0,ltepcell-309-66836-1--80.44--13.06/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,15-1075,0,1,0,,,,,,,,,,,0,1,,,randomAccessProblem,0,,0,1745525218,1.74553E+12,40.42662,-86.9084833,FALSE,LTE,0/4,66836:1|1075:1|65535:2,TRUE,5G NSA,3-Feb,66836:1|648672:1|1075:1|65535:1|653952:1,1745525222,True->False->False->True,5G NSA->LTE->LTE->5G NSA,2/3->0/4->0/4->2/2,66836:1|648672:1|1075:1|65535:1|653952:1->66836:1|1075:1|65535:2->66836:1|1075:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1745525218,1745525222,1745525217,1745525222,1745525217,1745525222,4.499995708,4.799995422,4.799995422,0.085938931,0.085938931,0.085938931,"[(1075, 17)]",FALSE,TRUE,"[(653952, 158), (1075, 15), (65535, 309), (66836, 309), (1075, 17)]",1745525218,N1E2,158,648672,0,1,1745525218,1745525194,29.41,54.02,85.005,133.6525,190.495,100.0432203,34.84,52.76,96.32,104.23,136.37,85.76289474,-11.315,-0.133109817,23.96000004,3.799999952,1745525218,-134.92,-30.09,158,653952,-79.5,-12.69,-118.24,-22.02,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-vptmp2-dl-2.csv,VP5
1745521202,309,66586,347,648672,309,67086,,,,,347,653952,,,,,311,66586,,,17,1075,311,65535,311,65535,,,,,,,1,0,1,type2,,,pcell-347-648672-68--113.29--11.64/scell1-347-653952-67--116.05--11.83/scell2-None-None-None-None-None/scell3-None-None-None-None-None,347-653952,67,ltepcell-309-66586-123--83.81--19.50/ltescell1-309-67086-60--80.94--18.56/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,309-67086,60,1,0,,,,,,,,,,,0,1,,,,0,,0,1745521202,1.74552E+12,40.42583,-86.9102344,FALSE,LTE,0/4,66586:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66586:1|648672:1|67086:1|653952:1,1745521232,True->False->True,5G NSA->LTE->5G NSA,2/2->0/4->2/2,66586:1|648672:1|67086:1|653952:1->66586:1|1075:1|65535:2->66586:1|648672:1|65535:1|653952:1,N1,1745521201,1745521232,1745521201,1745521232,1745521201,1745521232,31.29997015,31.39997005,31.39997005,0.084729671,0.084729671,0.084729671,"[(66586, 311), (1075, 17), (65535, 311)]",FALSE,TRUE,"[(66586, 309), (67086, 309), (66586, 311), (1075, 17), (65535, 311)]",1745521202,N1E3,311,66586,1,1,1745521191,1745520996,30.776,51.65,184.11,304.48,382.56,192.7187981,13.33,33.2,58.87,101.07,147.5,68.89925566,125.24,0.680245505,205.747,30.84599996,1745521191,-120.07,-14.46,347,653952,-74.38,-15.13,-113.285,-12.015,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-1.csv,VP6
1745521327,339,66586,266,648672,339,65535,,,,,266,653952,,,,,339,66586,,,339,1075,339,65535,339,65535,,,,,,,1,0,1,type3,,,pcell-266-648672-2--121.4--15.18/scell1-None-None-None-None-None/scell2-None-None-None-None-None/scell3-None-None-None-None-None,266-653952,0,ltepcell-339-66586-2--93.06--17.06/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,339-65535,0,1,0,,,,,,,,,,,0,1,,,randomAccessProblem,0,,0,1745521327,1.74552E+12,40.4302,-86.9117,FALSE,LTE,0/4,66586:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66586:1|648672:1|65535:1|653952:1,1745521329,True->False->True,5G NSA->LTE->5G NSA,2/2->0/4->2/2,66586:1|648672:1|65535:1|653952:1->66586:1|1075:1|65535:2->66586:1|648672:1|65535:1|653952:1,N1,1745521326,1745521329,1745521326,1745521329,1745521326,1745521329,2.299997807,2.699997425,2.699997425,0.01363802,0.113637924,0.113637924,"[(1075, 339)]",TRUE,TRUE,"[(66586, 339), (1075, 339), (653952, 266), (65535, 339)]",1745521327,N1E2,266,648672,0,1,1745521327,1745521232,46.5,152.4,259.38,377.915,462.8,261.2436547,103.22,106.19,143.31,161.265,183.594,137.446,116.07,0.447490169,94.6079998,1.563000202,1745521327,-125.67,-17.445,266,653952,-85.69,-18.94,-153.08,-41.02,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-1.csv,
1745521362,339,66586,313,648672,339,65535,,,,,313,653952,,,,,325,66586,,,325,1075,325,65535,325,65535,,,,,,,1,0,1,type2,,,pcell-313-648672-204--117.52--12.11/scell1-313-653952-203--117.67--12.31/scell2-None-None-None-None-None/scell3-None-None-None-None-None,313-653952,203,ltepcell-339-66586-332--115.38--18.88/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,339-65535,0,1,0,,,,,,,,,,,0,1,,,,0,,0,1745521362,1.74552E+12,40.43022,-86.9116,FALSE,LTE,0/4,66586:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66586:1|648672:1|65535:1|653952:1,,,,,,,1745521362,,1745521362,,1745521362,,,,,,,,"[(65535, 325), (66586, 325), (1075, 325)]",FALSE,TRUE,"[(1075, 325), (66586, 339), (65535, 339), (65535, 325), (66586, 325)]",1745521362,,,,1,0,1745521329,1745521329,15.1,15.1,15.1,15.1,37.29,22.99235821,0,0,0,0,0,0,15.1,1,33.50099993,,1745521329,-115.49,-11.91,313,653952,-106.94,-16.25,-115.49,-11.91,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-1.csv,
1745526685,309,66836,313,648672,309,66586,,,,,313,653952,,,,,340,66836,,,340,1075,340,65535,340,65535,,,,,,,1,0,1,type2,,,pcell-313-648672-10--110.39--11.82/scell1-313-653952-9--109.8--10.97/scell2-None-None-None-None-None/scell3-None-None-None-None-None,313-653952,9,ltepcell-309-66836-20--104.75--22.44/ltescell1-309-66586-6--101.69--18.19/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,309-66586,6,1,0,,,,,,,,,,,0,1,,,,0,,0,1745526685,1.74553E+12,40.4277778,-86.9101067,FALSE,LTE,0/4,66836:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|66586:1|653952:1,1745526686,True->False->False->False->True,5G NSA->LTE->LTE->LTE->5G NSA,2/2->0/4->0/4->0/4->2/2,66836:1|648672:1|66586:1|653952:1->66836:1|1075:1|65535:2->66836:1|1075:1|65535:2->66836:1|1075:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1745526684,1745526686,1745526684,1745526687,1745526684,1745526687,1.199998856,2.099997997,2.099997997,0.198887348,1.09888649,1.09888649,"[(65535, 340), (66836, 340), (1075, 340)]",FALSE,TRUE,"[(65535, 340), (66836, 340), (66586, 309), (1075, 340), (66836, 309)]",1745526685,N1E3,340,66836,1,1,1745526683,1745526577,19.61,42.4425,130.68,252.13,332.061,155.864581,17.7,92.725,167.75,213,287.148,170.7528571,-37.07,-0.283670034,107.533,0.662000179,1745526683,-110.6,-11.8,313,653952,-97.845,-17.19,-109.72,-11.8,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-2.csv,
1745526690,341,66836,313,648672,341,65535,,,,,313,653952,,,,,309,66836,,,17,1075,309,65535,309,65535,,,,,,,1,0,1,type2,,,pcell-313-648672-4--111.55--11.41/scell1-313-653952-3--110.77--10.83/scell2-None-None-None-None-None/scell3-None-None-None-None-None,313-653952,3,ltepcell-341-66836-10--100.75--23.13/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,341-65535,0,1,0,,,,,,,,,,,0,1,,,,0,,0,1745526690,1.74553E+12,40.42781,-86.91016,FALSE,LTE,0/4,66836:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|65535:1|653952:1,1745526697,True->False->False->True,5G NSA->LTE->LTE->5G NSA,2/2->0/4->0/4->2/2,66836:1|648672:1|65535:1|653952:1->66836:1|1075:1|65535:2->66836:1|1075:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1745526689,1745526697,1745526689,1745526697,1745526689,1745526697,7.999992371,7.999992371,7.999992371,0.243876457,0.243876457,0.243876457,"[(65535, 309), (66836, 309), (1075, 17)]",FALSE,TRUE,"[(65535, 341), (65535, 309), (66836, 309), (66836, 341), (1075, 17)]",1745526690,N1E3,309,66836,1,1,1745526689,1745526686,18.92,86.615,345.64,378.1225,481,263.221875,0,7.18,50.17,191.835,330.05,113.8404545,295.47,0.854848976,4.897999763,6.55700016,1745526689,-109.9,-11.285,313,653952,-99.56,-17.69,-109.6,-11.285,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-2.csv,
1745527172,325,66836,347,648672,325,65535,,,,,347,653952,,,,,309,66836,,,17,1075,309,65535,309,65535,,,,,,,1,0,1,type2,,,pcell-347-648672-3--107.77--11.16/scell1-347-653952-2--112.97--11.55/scell2-None-None-None-None-None/scell3-None-None-None-None-None,347-653952,2,ltepcell-325-66836-5--104.19--23.00/ltescell1-None-None-None-None-None/ltescell2-None-None-None-None-None/ltescell3-None-None-None-None-None,325-65535,0,1,0,,,,,,,,,,,0,1,,,,0,,0,1745527172,1.74553E+12,40.42761,-86.9089667,FALSE,LTE,0/4,66836:1|1075:1|65535:2,TRUE,5G NSA,2-Feb,66836:1|648672:1|65535:1|653952:1,1745527175,True->False->True,5G NSA->LTE->5G NSA,2/2->0/4->2/2,66836:1|648672:1|65535:1|653952:1->66836:1|1075:1|65535:2->66836:1|648672:1|65535:1|653952:1,N1,1745527171,1745527175,1745527171,1745527175,1745527171,1745527175,4.199995995,4.199995995,4.199995995,0.053420544,0.053420544,0.053420544,"[(65535, 309), (66836, 309), (1075, 17)]",FALSE,TRUE,"[(65535, 325), (65535, 309), (66836, 309), (66836, 325), (1075, 17)]",1745527172,N1E3,309,66836,1,1,1745527171,1745526697,21.71,55.03,157.07,318.31,444.61,205.2681851,6.411,11.23,32.2,50.815,62.99,30.38394737,124.87,0.794995862,474.609,3.780999899,1745527171,-121.19,-14.41,347,653952,-96.63,-19.88,-115.01,-12.93,/Users/yanbingliu/Dropbox/Research@Purdue/SA/nsg-log/20250424-v/onoff/onoff_rss_v-dr-dl-2.csv,
