taskround,dataset_flag,static_flag,location,fine_grained_analysis_flag,date,file_path,min_ts,max_ts,max_lat,min_lat,max_lon,min_lon,static_flag_new
v-coverage-dl-1,new,driving,,,20250325-v,20250325-v/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-1.csv,1742951622.4,1742952667.1,40.42532,40.41816,-86.90443,-86.93066,driving
v-coverage-dl-2,new,driving,,,20250325-v,20250325-v/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-2.csv,1742952990.5,1742953675.2,40.42425,40.41849000000001,-86.91028,-86.93066999999998,driving
v-coverage-dl-3,new,driving,,,20250325-v,20250325-v/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-3.csv,1742953807.0,1742954453.2,40.42405,40.41847,-86.9046,-86.93056,driving
v-coverage-dl-2,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-2.csv,1743090254.0,1743090789.3,40.42764,40.42221,-86.90218,-86.91035,driving
v-coverage-dl-3,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-3.csv,1743090832.1,1743091424.8,40.43142,40.4233,-86.90689,-86.91911999999998,driving
v-coverage-dl-4,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-4.csv,1743091513.5,1743092092.2,40.4315,40.42413,-86.91663,-86.92241,driving
v-coverage-dl-6,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-6.csv,1743092294.7,1743093577.0,40.43157,40.4236,-86.91917,-86.93226,driving
v-coverage-dl-7,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-7.csv,1743095418.6,1743096237.5,40.42447,40.41849000000001,-86.90911,-86.93111,driving
v-coverage-dl-8,new,driving,,,20250327-v1,20250327-v1/gps_cellset_thput_0.1/gct_trace_v-coverage-dl-8.csv,1743096384.0,1743097428.0,40.42453,40.41846,-86.90456999999998,-86.93056999999997,driving
v-explore-dl-1,new,static,VP8,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-1.csv,1743455028.9,1743455520.5,40.42058,40.42005,-86.91973,-86.92168000000002,driving
v-explore-dl-2,new,static,VP8,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-2.csv,1743455625.6,1743456069.4,40.42074,40.42049,-86.91931,-86.92107,driving
v-explore-dl-3,new,static,VP8,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-3.csv,1743456098.3,1743456875.1,40.42059,40.42053,-86.91999,-86.92124,driving
v-explore-dl-4,new,driving,,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-4.csv,1743457766.0,1743458230.1,40.4253,40.42393,-86.92184,-86.92311,driving
v-explore-dl-5,new,driving,,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-5.csv,1743458760.7,1743459232.7,40.42609,40.42375,-86.92183,-86.92258000000002,driving
v-explore-dl-6,new,driving,,,20250331-v,20250331-v/gps_cellset_thput_0.1/gct_trace_v-explore-dl-6.csv,1743459295.7,1743459499.5,40.42722,40.42411,-86.91663,-86.9206022,driving
v-dr-dl-1,new,driving,,,20250401-v,20250401-v/gps_cellset_thput_0.1/gct_trace_v-dr-dl-1.csv,1743531142.2,1743531651.3,40.43885,40.42678,-86.91520109999998,-86.91979,driving
