column,rsrq,cause
1,-15.97,S1E1
1,-18.88,S1E1
1,-18.88,S1E1
1,-17.82,S1E1
1,-15.9,S1E1
1,-15.16,S1E1
1,-38.23,S1E1
1,-17.115000000000002,S1E1
1,-14.725,S1E1
1,-17.27,S1E1
1,-15.98,S1E1
1,-17.465,S1E1
1,-16.91,S1E1
1,-17.54,S1E1
1,-15.21,S1E1
1,-18.88,S1E1
1,-31.23,S1E1
1,-18.47,S1E1
1,-15.91,S1E1
1,-15.41,S1E1
2,-34.285,S1E2
2,-12.16,S1E2
2,-29.66,S1E2
2,-12.305,S1E2
2,-12.48,S1E2
2,-12.24,S1E2
2,-32.98,S1E2
2,-30.905,S1E2
2,-27.58,S1E2
2,-32.34,S1E2
2,-12.38,S1E2
2,-42.99,S1E2
2,-42.89,S1E2
2,-29.09,S1E2
2,-32.94,S1E2
2,-28.5,S1E2
2,-25.92,S1E2
2,-26.005,S1E2
2,-12.32,S1E2
2,-26.92,S1E2
2,-12.095,S1E2
2,-32.59,S1E2
2,-29.95,S1E2
2,-25.93,S1E2
2,-27.815,S1E2
2,-28.935,S1E2
2,-12.07,S1E2
2,-12.26,S1E2
2,-12.02,S1E2
2,-12.34,S1E2
2,-42.99,S1E2
2,-12.32,S1E2
2,-12.05,S1E2
2,-12.2,S1E2
2,-12.455,S1E2
2,-12.285,S1E2
2,-12.07,S1E2
2,-27.56,S1E2
2,-12.51,S1E2
2,-12.48,S1E2
2,-12.05,S1E2
2,-12.025,S1E2
3,-10.91,S1E3
3,-10.76,S1E3
3,-10.84,S1E3
3,-10.645,S1E3
3,-10.614999999999998,S1E3
3,-10.86,S1E3
3,-29.285,S1E3
3,-20.88,S1E3
3,-10.56,S1E3
3,-17.869999999999997,S1E3
3,-19.075000000000003,S1E3
3,-19.8,S1E3
3,-10.42,S1E3
3,-18.02,S1E3
3,-18.45,S1E3
3,-25.76,S1E3
3,-10.595,S1E3
3,-10.85,S1E3
3,-10.74,S1E3
3,-10.84,S1E3
3,-10.77,S1E3
3,-10.73,S1E3
3,-10.91,S1E3
3,-10.72,S1E3
3,-10.385000000000002,S1E3
3,-10.42,S1E3
3,-21.335,S1E3
3,-10.41,S1E3
3,-10.38,S1E3
3,-10.66,S1E3
3,-10.37,S1E3
3,-10.48,S1E3
3,-10.48,S1E3
3,-10.65,S1E3
3,-10.7,S1E3
3,-10.385000000000002,S1E3
3,-10.41,S1E3
3,-10.32,S1E3
3,-10.34,S1E3
3,-10.41,S1E3
3,-23.75,S1E3
3,-19.985,S1E3
3,-19.21,S1E3
3,-18.74,S1E3
3,-17.82,S1E3
3,-10.49,S1E3
3,-18.24,S1E3
3,-10.8,S1E3
3,-10.645,S1E3
3,-10.46,S1E3
3,-10.48,S1E3
3,-23.31,S1E3
3,-10.42,S1E3
3,-23.14,S1E3
3,-18.38,S1E3
3,-19.22,S1E3
