value,value_log,value_divide_100,value_divide_1000,cdf
0.329,-0.4828041070855941,0.00329,0.000329,0.01
0.346,-0.46092425553091126,0.00346,0.000346,0.02
0.346,-0.46092395627102084,0.00346,0.000346,0.03
0.349,-0.45717430483556926,0.00349,0.000349,0.04
0.405,-0.3925450074649987,0.00405,0.000405,0.05
0.417,-0.37986388741910343,0.00417,0.000417,0.06
0.488,-0.31158046486483637,0.00488,0.000488,0.07
0.506,-0.2958494471449421,0.00506,0.000506,0.08
0.518,-0.28567013471199004,0.00518,0.000518,0.09
0.55,-0.2596373481580753,0.0055,0.00055,0.1
0.554,-0.25649031302293335,0.00554,0.000554,0.11
0.646,-0.18976738326959286,0.00646,0.000646,0.12
0.656,-0.18309638539036674,0.00656,0.000656,0.13
0.697,-0.15676720526366406,0.00697,0.000697,0.14
0.729,-0.13727241714040006,0.00729,0.000729,0.15
0.748,-0.12609845639917616,0.00748,0.000748,0.16
0.748,-0.12609831797154283,0.00748,0.000748,0.17
0.799,-0.09745307761665031,0.00799,0.000799,0.18
0.828,-0.08196962719986108,0.00828,0.000828,0.19
0.847,-0.07211652707843205,0.00847,0.000847,0.2
0.848,-0.07160412234573309,0.00848,0.000848,0.21
0.894,-0.04866245526020434,0.00894,0.000894,0.22
0.908,-0.04191415512803814,0.00908,0.000908,0.23
0.92,-0.036212136639186,0.0092,0.00092,0.24
0.92,-0.036212136639186,0.0092,0.00092,0.25
0.933,-0.030118426392549576,0.00933,0.000933,0.26
0.936,-0.0287242114412441,0.00936,0.000936,0.27
0.938,-0.027797068011985504,0.00938,0.000938,0.28
0.993,-0.003050842431373062,0.00993,0.000993,0.29
0.995,-0.002176969205090662,0.00995,0.000995,0.3
1.03,0.01283721264180816,0.0103,0.00103,0.31
1.044,0.018700461374578668,0.01044,0.001044,0.32
1.061,0.02571542840275801,0.01061,0.001061,0.33
1.083,0.03462843444417612,0.01083,0.001083,0.34
1.119,0.04883007024262883,0.01119,0.001119,0.35
1.16,0.06445802136122279,0.0116,0.00116,0.36
1.185,0.07371832937521113,0.01185,0.001185,0.37
1.193,0.07664055893123498,0.01193,0.001193,0.38
1.216,0.08493343324507695,0.01216,0.001216,0.39
1.227,0.08884456205190157,0.01227,0.001227,0.4
1.264,0.10174713489307216,0.01264,0.001264,0.41
1.288,0.10991589903905208,0.01288,0.001288,0.42
1.315,0.1189256929829257,0.01315,0.001315,0.43
1.336,0.12580644697910925,0.01336,0.001336,0.44
1.457,0.16345955688677727,0.01457,0.001457,0.45
1.479,0.16996813087111212,0.01479,0.001479,0.46
1.513,0.1798389313081212,0.01513,0.001513,0.47
1.575,0.1972805055319027,0.01575,0.001575,0.48
1.69,0.2278866580495624,0.0169,0.00169,0.49
1.711,0.23325000082671227,0.01711,0.001711,0.5
1.752,0.2435340658990268,0.01752,0.001752,0.51
1.79,0.25285302172457474,0.0179,0.00179,0.52
1.82,0.26007142894748425,0.0182,0.00182,0.53
1.852,0.26764092598941935,0.01852,0.001852,0.54
1.885,0.27531140727502773,0.01885,0.001885,0.55
1.904,0.2796669540547961,0.01904,0.001904,0.56
1.908,0.2805783143632104,0.01908,0.001908,0.57
1.982,0.2971036225654186,0.01982,0.001982,0.58
1.994,0.29972514483635815,0.01994,0.001994,0.59
2.059,0.31365634983649077,0.02059,0.002059,0.6
2.183,0.33905375316408404,0.02183,0.002183,0.61
2.238,0.34986006590661,0.02238,0.002238,0.62
2.281,0.358125311423632,0.02281,0.002281,0.63
2.53,0.403120516264646,0.0253,0.00253,0.64
2.551,0.406710478742193,0.02551,0.002551,0.65
2.606,0.4159744024764017,0.02606,0.002606,0.66
2.702,0.4316852907297636,0.02702,0.002702,0.67
2.749,0.4391747512939367,0.02749,0.002749,0.68
2.934,0.46746007647486126,0.02934,0.002934,0.69
2.945,0.46908532443775086,0.02945,0.002945,0.7
3.105,0.4920615404854649,0.03105,0.003105,0.71
3.39,0.5301996810984893,0.0339,0.00339,0.72
3.407,0.5323721114428578,0.03407,0.003407,0.73
3.588,0.554852412670551,0.03588,0.003588,0.74
3.826,0.5827449628767024,0.03826,0.003826,0.75
4.162,0.6193020448273721,0.04162,0.004162,0.76
4.286,0.6320521680586929,0.04286,0.004286,0.77
4.347,0.6381896762060959,0.04347,0.004347,0.78
4.605,0.6632296588167722,0.04605,0.004605,0.79
4.632,0.6657685255040318,0.04632,0.004632,0.8
4.98,0.6972293652150148,0.0498,0.00498,0.81
5.038,0.7022581518170726,0.05038,0.005038,0.82
5.59,0.7474118012181238,0.0559,0.00559,0.83
5.662,0.752969860493782,0.05662,0.005662,0.84
6.541,0.8156441417868564,0.06541,0.006541,0.85
6.746,0.8290463401685513,0.06746,0.006746,0.86
6.809,0.8330833351515855,0.06809,0.006809,0.87
6.985,0.844166418751499,0.06985,0.006985,0.88
7.59,0.880241730057874,0.0759,0.00759,0.89
8.022,0.9042826229502974,0.08022,0.008022,0.9
8.983,0.9534214131441591,0.08983,0.008983,0.91
9.099,0.9589936980769681,0.09099,0.009099,0.92
11.974,1.0782392529795164,0.11974,0.011974,0.93
12.333,1.0910687631349185,0.12333,0.012333,0.94
14.838,1.1713753614972664,0.14838,0.014838,0.95
19.993,1.3008779614724761,0.19993,0.019993,0.96
21.141,1.3251255219852527,0.21141,0.021141,0.97
23.622,1.373316682321601,0.23622,0.023622,0.98
26.548,1.4240318066610564,0.26548,0.026548,0.99
41.166,1.6145386735735192,0.41166,0.041166,1.0
