value,value_log,value_divide_100,value_divide_1000,cdf
0.496,-0.3045182784181181,0.00496,0.000496,0.01
0.497,-0.3036436296003924,0.00497,0.000497,0.02
0.498,-0.30277053082529093,0.00498,0.000498,0.03
0.503,-0.29843179097646805,0.00503,0.000503,0.04
0.508,-0.29413637576914725,0.00508,0.000508,0.05
0.515,-0.28819288355021977,0.00515,0.000515,0.06
0.518,-0.2856703346036347,0.00518,0.000518,0.07
0.526,-0.27901423694852023,0.00526,0.000526,0.08
0.53,-0.27572415384310744,0.0053,0.00053,0.09
0.534,-0.27245880812264966,0.00534,0.000534,0.1
0.535,-0.27164634184435726,0.00535,0.000535,0.11
0.539,-0.2684110150467287,0.00539,0.000539,0.12
0.54,-0.26760627085669875,0.0054,0.00054,0.13
0.544,-0.26440098153092284,0.00544,0.000544,0.14
0.545,-0.26360343692695914,0.00545,0.000545,0.15
0.546,-0.2628073542610101,0.00546,0.000546,0.16
0.547,-0.2620125388891902,0.00547,0.000547,0.17
0.554,-0.2564901261206417,0.00554,0.000554,0.18
0.557,-0.25414486580004636,0.00557,0.000557,0.19
0.559,-0.2525881802588221,0.00559,0.000559,0.2
0.559,-0.2525881802588221,0.00559,0.000559,0.21
0.561,-0.25103723915003034,0.00561,0.000561,0.22
0.566,-0.24718358051986988,0.00566,0.000566,0.23
0.574,-0.24108819707548718,0.00574,0.000574,0.24
0.583,-0.23433148644541085,0.00583,0.000583,0.25
0.586,-0.23210223273013444,0.00586,0.000586,0.26
0.591,-0.2284122850500857,0.00591,0.000591,0.27
0.593,-0.22694535412972572,0.00593,0.000593,0.28
0.595,-0.2254831874119959,0.00595,0.000595,0.29
0.601,-0.22112564928660652,0.00601,0.000601,0.3
0.607,-0.2168112284095799,0.00607,0.000607,0.31
0.617,-0.20971493128754679,0.00617,0.000617,0.32
0.621,-0.20690836380816102,0.00621,0.000621,0.33
0.626,-0.2034255516673239,0.00626,0.000626,0.34
0.782,-0.10679321092489322,0.00782,0.000782,0.35
0.825,-0.08354615185626668,0.00825,0.000825,0.36
0.913,-0.039529285068353986,0.00913,0.000913,0.37
0.972,-0.01233368053210017,0.00972,0.000972,0.38
1.139,0.05652360989901086,0.01139,0.001139,0.39
1.288,0.10991581864784533,0.01288,0.001288,0.4
1.396,0.14488538980515903,0.01396,0.001396,0.41
1.509,0.17868925789062096,0.01509,0.001509,0.42
1.65,0.2174839065615871,0.0165,0.00165,0.43
1.728,0.2375437194474525,0.01728,0.001728,0.44
1.857,0.26881187429919506,0.01857,0.001857,0.45
2.211,0.3445887358350152,0.02211,0.002211,0.46
2.428,0.3852486776268963,0.02428,0.002428,0.47
2.454,0.38987455771588275,0.02454,0.002454,0.48
2.702,0.4316852907297636,0.02702,0.002702,0.49
3.214,0.5070458706232011,0.03214,0.003214,0.5
3.767,0.5759955880983437,0.03767,0.003767,0.51
3.8,0.5797835911671326,0.038,0.0038,0.52
6.687,0.8252313100691681,0.06687,0.006687,0.53
19.243,1.284272780546475,0.19243,0.019243,0.54
20.631,1.3145202799450024,0.20631,0.020631,0.55
30.617,1.4859626356587914,0.30617,0.030617,0.56
30.636,1.4862320630690309,0.30636,0.030636,0.57
30.636,1.4862320630690309,0.30636,0.030636,0.58
30.638,1.4862604086141746,0.30638,0.030638,0.59
30.644,1.4863454510455893,0.30644,0.030644,0.6
30.646,1.486373795948746,0.30646,0.030646,0.61
30.646,1.4863737993274535,0.30646,0.030646,0.62
30.651,1.4864446450468225,0.30651,0.030651,0.63
30.654,1.4864871536874271,0.30654,0.030654,0.64
30.67,1.4867137736867622,0.3067,0.03067,0.65
30.671,1.486727936043085,0.30671,0.030671,0.66
30.723,1.48746362156024,0.30723,0.030723,0.67
30.822,1.4888608164842352,0.30822,0.030822,0.68
30.84,1.4891143715276898,0.3084,0.03084,0.69
30.846,1.4891988536330263,0.30846,0.030846,0.7
30.915,1.4901692502990047,0.30915,0.030915,0.71
30.955,1.4907308039335494,0.30955,0.030955,0.72
31.054,1.4921175506157724,0.31054,0.031054,0.73
31.064,1.4922573760180322,0.31064,0.031064,0.74
31.081,1.4924949845956264,0.31081,0.031081,0.75
31.195,1.4940849890369934,0.31195,0.031195,0.76
31.325,1.4958910803272818,0.31325,0.031325,0.77
31.467,1.4978553402364758,0.31467,0.031467,0.78
31.82,1.5027001743994288,0.3182,0.03182,0.79
32.063,1.5060041545357166,0.32063,0.032063,0.8
32.484,1.5116695013846266,0.32484,0.032484,0.81
34.038,1.5319640322691572,0.34038,0.034038,0.82
34.309,1.5354080601085196,0.34309,0.034309,0.83
34.316,1.5354966589611316,0.34316,0.034316,0.84
37.21,1.5706596704667644,0.3721,0.03721,0.85
37.859,1.578169138040354,0.37859,0.037859,0.86
38.823,1.5890890994148832,0.38823,0.038823,0.87
44.851,1.6517721289129332,0.44851,0.044851,0.88
46.527,1.6677050502339459,0.46527,0.046527,0.89
58.247,1.7652735636455135,0.58247,0.058247,0.9
60.897,1.7845958988195714,0.60897,0.060897,0.91
60.908,1.784674339009912,0.60908,0.060908,0.92
64.518,1.809680897034445,0.64518,0.064518,0.93
70.59,1.8487431813676232,0.7059,0.07059,0.94
91.159,1.959799553146007,0.91159,0.091159,0.95
91.948,1.9635422869368901,0.91948,0.091948,0.96
97.842,1.9905253205598916,0.97842,0.097842,0.97
100.301,2.0013052634658237,1.00301,0.100301,0.98
120.453,2.0808176238251432,1.20453,0.120453,0.99
129.148,2.1110876858379037,1.29148,0.129148,1.0
