value,value_log,value_divide_100,value_divide_1000,cdf
1.023,0.009875533305968394,0.01023,0.001023,0.014925373134328358
1.052,0.022015660289719047,0.01052,0.001052,0.029850746268656716
1.354,0.13161861724201368,0.01354,0.001354,0.04477611940298507
1.836,0.26387272514057797,0.01836,0.001836,0.05970149253731343
1.91,0.2810333867638498,0.0191,0.00191,0.07462686567164178
2.331,0.367542290222634,0.02331,0.002331,0.08955223880597014
2.367,0.37419827682682344,0.02367,0.002367,0.1044776119402985
2.638,0.42127479309438964,0.02638,0.002638,0.11940298507462686
2.733,0.43663963805759687,0.02733,0.002733,0.13432835820895522
2.918,0.46508524951800956,0.02918,0.002918,0.14925373134328357
3.436,0.5360531387657623,0.03436,0.003436,0.16417910447761194
3.546,0.549738760932291,0.03546,0.003546,0.1791044776119403
4.148,0.6178387479167022,0.04148,0.004148,0.19402985074626866
4.327,0.6361869093651148,0.04327,0.004327,0.208955223880597
4.784,0.6797911637080422,0.04784,0.004784,0.22388059701492538
4.83,0.6839471238914625,0.0483,0.00483,0.23880597014925373
4.885,0.6888645672069403,0.04885,0.004885,0.2537313432835821
5.798,0.7632782004467169,0.05798,0.005798,0.26865671641791045
6.357,0.8032522191184714,0.06357,0.006357,0.2835820895522388
6.747,0.829110693458135,0.06747,0.006747,0.29850746268656714
7.628,0.8824106991426797,0.07628,0.007628,0.31343283582089554
9.652,0.9846173002776722,0.09652,0.009652,0.3283582089552239
10.7,1.0293837892976063,0.107,0.0107,0.34328358208955223
13.481,1.1297221146561214,0.13481,0.013481,0.3582089552238806
14.636,1.1654224054555087,0.14636,0.014636,0.373134328358209
15.19,1.181557775498766,0.1519,0.01519,0.3880597014925373
17.805,1.250541979638595,0.17805,0.017805,0.40298507462686567
18.943,1.2774487610573575,0.18943,0.018943,0.417910447761194
21.87,1.3398487854995857,0.2187,0.02187,0.43283582089552236
22.205,1.3464507806805948,0.22205,0.022205,0.44776119402985076
24.958,1.3972097835650004,0.24958,0.024958,0.4626865671641791
25.745,1.4106928942327404,0.25745,0.025745,0.47761194029850745
26.476,1.4228523735737801,0.26476,0.026476,0.4925373134328358
28.617,1.4566241014518895,0.28617,0.028617,0.5074626865671642
30.091,1.4784366218396172,0.30091,0.030091,0.5223880597014925
32.216,1.5080716112511938,0.32216,0.032216,0.5373134328358209
32.297,1.5091621825856452,0.32297,0.032297,0.5522388059701493
33.427,1.5240974019581917,0.33427,0.033427,0.5671641791044776
34.188,1.533873694826745,0.34188,0.034188,0.582089552238806
35.577,1.5511693225948457,0.35577,0.035577,0.5970149253731343
35.865,1.5546708352869378,0.35865,0.035865,0.6119402985074627
37.218,1.5707530335739726,0.37218,0.037218,0.6268656716417911
37.649,1.575753444523457,0.37649,0.037649,0.6417910447761194
39.327,1.5946908171092686,0.39327,0.039327,0.6567164179104478
40.56,1.608097945712594,0.4056,0.04056,0.6716417910447762
40.913,1.611861327018808,0.40913,0.040913,0.6865671641791045
41.67,1.6198235012524314,0.4167,0.04167,0.7014925373134329
42.536,1.6287566474424409,0.42536,0.042536,0.7164179104477612
42.652,1.629939402457864,0.42652,0.042652,0.7313432835820896
43.526,1.638748757949804,0.43526,0.043526,0.746268656716418
47.218,1.6741075872424125,0.47218,0.047218,0.7611940298507462
47.709,1.6786003125024591,0.47709,0.047709,0.7761194029850746
58.889,1.7700341791341199,0.58889,0.058889,0.7910447761194029
60.548,1.7820998029528643,0.60548,0.060548,0.8059701492537313
62.501,1.7958869671532427,0.62501,0.062501,0.8208955223880597
68.364,1.834827466025326,0.68364,0.068364,0.835820895522388
70.416,1.8476713520070362,0.70416,0.070416,0.8507462686567164
72.968,1.8631324423328086,0.72968,0.072968,0.8656716417910447
77.616,1.8899512569297983,0.77616,0.077616,0.8805970149253731
85.379,1.9313510635694626,0.85379,0.085379,0.8955223880597015
90.18,1.955110230143854,0.9018,0.09018,0.9104477611940298
92.808,1.9675854130795627,0.92808,0.092808,0.9253731343283582
93.382,1.9702631721215658,0.93382,0.093382,0.9402985074626866
107.089,2.02974486307792,1.07089,0.107089,0.9552238805970149
135.497,2.1319296788965705,1.35497,0.135497,0.9701492537313433
144.402,2.1595732089188995,1.44402,0.144402,0.9850746268656716
196.106,2.2924908807677054,1.96106,0.196106,1.0
