index,loc,lat,lon,cell_num,max_rsrp_10,max_rsrp_25,max_rsrp_50,min_rsrp_10,min_rsrp_25,min_rsrp_50,rsrp_10_gap,rsrp_25_gap,rsrp_50_gap,prob_predicted_s1e1,prob_predicted_s1e2,prob_predicted_s1e3,prob_predicted_overall,prob_predict_min_margin,prob_predict_max_margin,run_with_onoff_ratio,prediction_error
1,TP17,40.4215,-86.91617,2,-93.66,-88.27,-79.99,-155.49,-143.34,-108.17,61.83,55.07,28.18,0.990060313,0.075048193,2.30E-05,0.99080648,0.74080648,1,0.763157895,0.227648585
2,TP43,40.41,-86.85699,2,-107.01,-105.73,-97.38,-109.86,-105.83,-97.48,2.85,0.1,0.1,0.107213491,0,0.978311238,0.980636566,0.730636566,1,1,0.019363434
3,TP1,40.43045,-86.91326,3,-100.52,-97.28,-94.88,-102.9,-98.91,-96.21,0.77,0.46,0.1,0,0,0.978311238,0.978311238,0.728311238,1,1,0.021688762
4,TP34,40.45503,-86.91593,3,-91.72,-88,-84.29,-98.139,-91.9975,-87.94,1.8,1.41,0.14,0,0,0.969753096,0.969753096,0.719753096,1,0.857142857,0.112610239
5,TP16,40.42041,-86.91353,2,-90.483,-87.45,-84.47,-90.99,-87.88,-84.64,0.507,0.43,0.17,0,0,0.963378079,0.963378079,0.713378079,1,1,0.036621921
6,TP40,40.42093,-86.87853,3,-115.364,-106.6,-102.14,-142.468,-121.75,-112.1,2.746,1.24,1.405,0.736632584,0.149992675,0.731082574,0.939799007,0.689799007,1,0.666666667,0.27313234
7,TP25,40.42098,-86.92562,4,-99.03,-94.8,-89.49,-138.802,-109.11,-98.55,4.4,3.97,1.055,0.665431401,0,0.79124584,0.930157413,0.680157413,1,1,0.069842587
8,TP15,40.42158,-86.91387,2,-94.629,-91.26,-87.55,-98.22,-92.12,-87.91,3.591,0.86,0.36,0,0,0.923857978,0.923857978,0.673857978,1,0.8,0.123857978
9,TP27,40.43183,-86.91051,3,-97.69,-95.63,-93.61,-144.962,-136.21,-129.52,17.72,13.97,11.7,0.785110567,0.4855146,0.048261815,0.894778229,0.644778229,1,0.666666667,0.228111562
10,TP3,40.43094,-86.9217,3,-101.8,-97.26,-93.54,-107.92,-102.48,-97.93,0.46,0.82,0.57,0.070300423,0,0.881854719,0.890160382,0.640160382,1,1,0.109839618
11,TP37,40.4322,-86.86529,2,-109.793,-102.48,-99.14,-111.45,-105.255,-99.89,1.657,2.775,0.75,0.137564816,0,0.847207725,0.868226566,0.618226566,1,1,0.131773434
12,TP7,40.42829,-86.91915,2,-91.891,-87.52,-83.39,-92.6,-88.17,-84.05,0.709,0.65,0.66,0,0,0.864377455,0.864377455,0.614377455,1,1,0.135622545
13,TP33,40.45935,-86.90296,3,-114.91,-112.8725,-110.7,-128.13,-123.8,-122.29,1.68,1.8675,2.15,0.458623379,0.345824097,0.616327603,0.864120295,0.614120295,1,1,0.135879705
14,TP13,40.42424,-86.91661,2,-103.757,-98.43,-94.36,-148.02,-132.375,-106.035,44.263,33.945,11.675,0.844591815,0.034624616,0.048636573,0.857269574,0.607269574,1,1,0.142730426
15,TP12,40.42389,-86.91379,3,-91.05,-88.45,-85.575,-139.775,-118.95,-100.805,9.158,7.96,2.915,0.684322004,0,0.515384601,0.847017582,0.597017582,1,0.7,0.147017582
16,TP11,40.42618,-86.91554,3,-93.3,-87.41,-82.29,-108.61,-94.45,-89.2,1.264,2.23,1.05,0.083411394,0,0.792136168,0.80947438,0.55947438,1,1,0.19052562
17,TP18,40.4211,-86.91815,2,-96.9,-93.27,-89.31,-135.91,-131.3825,-129.31,59.01,58.1125,40,0.60931573,0.481450931,0,0.797411036,0.547411036,1,0.4,0.397411036
18,TP8,40.42754,-86.92185,3,-98.22,-96.48,-94.27,-102.294,-99.48,-96.66,0.346,1.16,1.03,0,0,0.795706362,0.795706362,0.545706362,1,0.916666667,0.120960305
19,TP26,40.4352,-86.90562,3,-116.05,-111.95,-107.13,-133.19,-129.535,-116.23,12.008,8.4075,4.1,0.556584136,0.229168296,0.387776821,0.790742725,0.540742725,1,0.4,0.390742725
20,TP31,40.46038,-86.92799,2,-95.533,-91.23,-87.565,-97.735,-91.61,-88.65,2.202,0.38,1.085,0,0,0.785922461,0.785922461,0.535922461,1,0.5,0.285922461
21,TP35,40.453,-86.92276,2,-89.908,-84.945,-80.9,-93.03,-87.22,-82.03,3.122,2.275,1.13,0,0,0.777996874,0.777996874,0.527996874,1,0.5,0.277996874
