value,value_log,value_divide_100,value_divide_1000,cdf
1.95,0.290034611362518,0.0195,0.00195,0.010869565217391304
2.44,0.3873898263387294,0.0244,0.00244,0.021739130434782608
2.53,0.40312052117581787,0.0253,0.00253,0.03260869565217391
2.73,0.436162647040756,0.0273,0.00273,0.043478260869565216
3.31,0.5198279937757188,0.0331,0.00331,0.05434782608695652
3.9,0.5910646070264992,0.039,0.0039,0.06521739130434782
4.35,0.6384892569546373,0.0435,0.00435,0.07608695652173914
4.49,0.6522463410033232,0.0449,0.00449,0.08695652173913043
5.04,0.7024305364455253,0.0504,0.00504,0.09782608695652174
5.23,0.7185016888672743,0.0523,0.00523,0.10869565217391304
5.3,0.724275869600789,0.053,0.0053,0.11956521739130435
6.08,0.7839035792727349,0.0608,0.00608,0.13043478260869565
7.24,0.859738566197147,0.0724,0.00724,0.14130434782608695
7.265,0.8612356186340404,0.07265,0.007265,0.15217391304347827
7.3,0.8633228601204559,0.073,0.0073,0.16304347826086957
7.345,0.8659918001262753,0.07345,0.007345,0.17391304347826086
7.4,0.8692317197309762,0.074,0.0074,0.18478260869565216
7.52,0.8762178405916422,0.0752,0.00752,0.1956521739130435
7.74,0.8887409606828927,0.0774,0.00774,0.20652173913043478
8.29,0.9185545305502735,0.0829,0.00829,0.21739130434782608
8.45,0.9268567089496923,0.0845,0.00845,0.22826086956521738
8.56,0.9324737646771533,0.0856,0.00856,0.2391304347826087
8.58,0.9334872878487055,0.0858,0.00858,0.25
8.66,0.9375178920173467,0.0866,0.00866,0.2608695652173913
9.86,0.9938769149412112,0.0986,0.00986,0.2717391304347826
11.21,1.049605612594973,0.1121,0.01121,0.2826086956521739
11.29,1.052693941924968,0.1129,0.01129,0.29347826086956524
11.56,1.0629578340845103,0.1156,0.01156,0.30434782608695654
12.54,1.0982975364946976,0.1254,0.01254,0.31521739130434784
12.68,1.103119253545714,0.1268,0.01268,0.32608695652173914
13.66,1.1354506993455138,0.1366,0.01366,0.33695652173913043
14.6,1.1643528557844371,0.146,0.0146,0.34782608695652173
15.765,1.1976939750839235,0.15765,0.015765,0.358695652173913
