value,value_log,value_divide_100,value_divide_1000,cdf
2.28,0.35793484700045375,0.0228,0.00228,0.015873015873015872
2.87,0.4578818967339923,0.0287,0.00287,0.031746031746031744
3.75,0.5740312677277188,0.0375,0.00375,0.047619047619047616
3.77,0.5763413502057929,0.0377,0.00377,0.06349206349206349
4.62,0.6646419755561255,0.0462,0.00462,0.07936507936507936
4.64,0.6665179805548809,0.0464,0.00464,0.09523809523809523
6.62,0.8208579894396999,0.0662,0.00662,0.1111111111111111
7.91,0.8981764834976765,0.0791,0.00791,0.12698412698412698
8.58,0.9334872878487055,0.0858,0.00858,0.14285714285714285
10.03,1.0013009330204181,0.1003,0.01003,0.15873015873015872
10.19,1.0081741840064264,0.1019,0.01019,0.1746031746031746
10.6,1.0253058652647702,0.106,0.0106,0.19047619047619047
19.73,1.2951270852521912,0.1973,0.01973,0.20634920634920634
21.78,1.338057875419756,0.2178,0.02178,0.2222222222222222
22.61,1.3543005623453597,0.2261,0.02261,0.23809523809523808
27.2,1.4345689040341987,0.272,0.0272,0.25396825396825395
34.3,1.5352941200427705,0.343,0.0343,0.2698412698412698
44.64,1.6497241859295224,0.4464,0.04464,0.2857142857142857
44.8,1.651278013998144,0.448,0.0448,0.30158730158730157
56.38,1.7511250715355835,0.5638,0.05638,0.31746031746031744
62.99,1.7992716083498728,0.6299,0.06299,0.3333333333333333
71.53,1.8544882250444303,0.7153,0.07153,0.3492063492063492
74.36,1.8713393810998609,0.7436,0.07436,0.36507936507936506
74.46,1.8719230318823734,0.7446,0.07446,0.38095238095238093
79.89,1.9024924211586036,0.7989,0.07989,0.3968253968253968
86.28,1.9359101364305074,0.8628,0.08628,0.4126984126984127
87.6,1.9425041061680808,0.876,0.0876,0.42857142857142855
92.12,1.9643539292921934,0.9212,0.09212,0.4444444444444444
92.14,1.9644482079166607,0.9214,0.09214,0.4603174603174603
94.72,1.9764416893788446,0.9472,0.09472,0.47619047619047616
95.44,1.9797304306622854,0.9544,0.09544,0.49206349206349204
97.515,1.9890714250951615,0.97515,0.097515,0.5079365079365079
106.71,2.0282051199054427,1.0671,0.10671,0.5238095238095238
112.42,2.050843580956919,1.1242,0.11242,0.5396825396825397
112.68,2.0518468383137356,1.1268,0.11268,0.5555555555555556
114.98,2.060622304309956,1.1498,0.11498,0.5714285714285714
115.26,2.0616786152453375,1.1526,0.11526,0.5873015873015873
115.98,2.0643831044121965,1.1598,0.11598,0.6031746031746031
121.7,2.085290578230065,1.217,0.1217,0.6190476190476191
123.58,2.0919481908785595,1.2358,0.12358,0.6349206349206349
125.505,2.0986610280413935,1.25505,0.125505,0.6507936507936508
128.69,2.109544800878347,1.2869,0.12869,0.6666666666666666
133.98,2.127039973455082,1.3398,0.13398,0.6825396825396826
134.64,2.1291741029677675,1.3464,0.13464,0.6984126984126984
135.14,2.130783914588956,1.3514,0.13514,0.7142857142857143
144.48,2.1598077329694307,1.4448,0.14448,0.7301587301587301
154.47,2.1888441465468973,1.5447,0.15447,0.746031746031746
155.975,2.193054994302401,1.55975,0.155975,0.7619047619047619
159.65,2.203168922875464,1.5965,0.15965,0.7777777777777778
166.11,2.220395778231596,1.6611,0.16611,0.7936507936507936
180.68,2.2569100818893566,1.8068,0.18068,0.8095238095238095
184.11,2.2650773780035944,1.8411,0.18411,0.8253968253968254
189.23,2.276989989368231,1.8923,0.18923,0.8412698412698413
191.36,2.2818511623083166,1.9136,0.19136,0.8571428571428571
201.76,2.3048350692290063,2.0176,0.20176,0.873015873015873
202.18,2.3057381922083175,2.0218,0.20218,0.8888888888888888
202.34,2.306081745657977,2.0234,0.20234,0.9047619047619048
206.66,2.3152564250532106,2.0666,0.20666,0.9206349206349206
216.21,2.334875776779105,2.1621,0.21621,0.9365079365079365
247.6,2.39375064034808,2.476,0.2476,0.9523809523809523
248.81,2.3958678312339883,2.4881,0.24881,0.9682539682539683
269.23,2.4301234512002896,2.6923,0.26923,0.9841269841269841
461.45,2.664124650322944,4.6145,0.46145,1.0
