value,value_log,value_divide_100,value_divide_1000,cdf
0.01,-2.000000000000013,0.0001,1e-05,0.010869565217391304
0.25,-0.6020599913279633,0.0025,0.00025,0.021739130434782608
0.48,-0.3187587626244124,0.0048,0.00048,0.03260869565217391
0.94,-0.02687214640030116,0.0094,0.00094,0.043478260869565216
1.0,0.0,0.01,0.001,0.05434782608695652
1.045,0.01911629044707278,0.01045,0.001045,0.06521739130434782
1.19,0.07554696139253123,0.0119,0.00119,0.07608695652173914
1.57,0.19589965240923357,0.0157,0.00157,0.08695652173913043
1.76,0.24551266781414988,0.0176,0.00176,0.09782608695652174
1.95,0.290034611362518,0.0195,0.00195,0.10869565217391304
2.005,0.3021143769562011,0.02005,0.002005,0.11956521739130435
2.07,0.3159703454569177,0.0207,0.00207,0.13043478260869565
2.31,0.3636119798921447,0.0231,0.00231,0.14130434782608695
2.37,0.37474834601010387,0.0237,0.00237,0.15217391304347827
2.86,0.4563660331290429,0.0286,0.00286,0.16304347826086957
2.98,0.4742162640762553,0.0298,0.00298,0.17391304347826086
3.25,0.5118833609788743,0.0325,0.00325,0.18478260869565216
3.7,0.568201724066995,0.037,0.0037,0.1956521739130435
3.74,0.5728716022004802,0.0374,0.00374,0.20652173913043478
3.81,0.5809249756756193,0.0381,0.00381,0.21739130434782608
4.0,0.6020599913279624,0.04,0.004,0.22826086956521738
4.35,0.6384892569546373,0.0435,0.00435,0.2391304347826087
4.62,0.6646419755561255,0.0462,0.00462,0.25
4.68,0.670245853074124,0.0468,0.00468,0.2608695652173913
4.76,0.6776069527204931,0.0476,0.00476,0.2717391304347826
5.3,0.7242758696007893,0.053,0.0053,0.2826086956521739
5.73,0.7581546219673899,0.0573,0.00573,0.29347826086956524
6.65,0.8228216453031046,0.0665,0.00665,0.30434782608695654
6.87,0.8369567370595504,0.0687,0.00687,0.31521739130434784
7.265,0.8612356186340404,0.07265,0.007265,0.32608695652173914
7.52,0.8762178405916422,0.0752,0.00752,0.33695652173913043
8.09,0.9079485216122722,0.0809,0.00809,0.34782608695652173
8.56,0.9324737646771533,0.0856,0.00856,0.358695652173913
9.28,0.967547976218862,0.0928,0.00928,0.3695652173913043
9.81,0.9916690073799486,0.0981,0.00981,0.3804347826086957
10.6,1.0253058652647702,0.106,0.0106,0.391304347826087
11.08,1.044539760392411,0.1108,0.01108,0.40217391304347827
11.21,1.049605612594973,0.1121,0.01121,0.41304347826086957
11.29,1.052693941924968,0.1129,0.01129,0.42391304347826086
11.325,1.0540382106848694,0.11325,0.011325,0.43478260869565216
12.91,1.1109262422664203,0.1291,0.01291,0.44565217391304346
13.56,1.1322596895310446,0.1356,0.01356,0.45652173913043476
14.6,1.1643528557844371,0.146,0.0146,0.4673913043478261
15.36,1.1863912156954932,0.1536,0.01536,0.4782608695652174
15.56,1.1920095926536702,0.1556,0.01556,0.4891304347826087
16.69,1.2224563366792467,0.1669,0.01669,0.5
17.1,1.2329961103921538,0.171,0.0171,0.5108695652173914
17.69,1.2477278329097232,0.1769,0.01769,0.5217391304347826
17.97,1.2545480771089739,0.1797,0.01797,0.532608695652174
18.44,1.2657609167176105,0.1844,0.01844,0.5434782608695652
23.16,1.3647385550553985,0.2316,0.02316,0.5543478260869565
23.74,1.3754807146185724,0.2374,0.02374,0.5652173913043478
23.97,1.3796680340336538,0.2397,0.02397,0.5760869565217391
24.7,1.3926969532596658,0.247,0.0247,0.5869565217391305
25.18,1.401055725771844,0.2518,0.02518,0.5978260869565217
26.21,1.4184670209466004,0.2621,0.02621,0.6086956521739131
29.24,1.4659773682858228,0.2924,0.02924,0.6195652173913043
31.83,1.502836638621003,0.3183,0.03183,0.6304347826086957
32.97,1.518118947143153,0.3297,0.03297,0.6413043478260869
33.47,1.524655712357777,0.3347,0.03347,0.6521739130434783
34.83,1.5419534744582362,0.3483,0.03483,0.6630434782608695
36.05,1.556905269055448,0.3605,0.03605,0.6739130434782609
37.595,1.5751300891616469,0.37595,0.037595,0.6847826086956522
38.4,1.5843312243675307,0.384,0.0384,0.6956521739130435
41.16,1.6144753660903952,0.4116,0.04116,0.7065217391304348
41.91,1.6223176608338443,0.4191,0.04191,0.717391304347826
44.4,1.6473829701146199,0.444,0.0444,0.7282608695652174
44.44,1.64777405026883,0.4444,0.04444,0.7391304347826086
45.05,1.6536947953150818,0.4505,0.04505,0.75
51.53,1.7120601424610749,0.5153,0.05153,0.7608695652173914
51.62,1.7128180002078501,0.5162,0.05162,0.7717391304347826
65.91,1.8189513116401728,0.6591,0.06591,0.782608695652174
66.91,1.825491029879431,0.6691,0.06691,0.7934782608695652
67.28,1.8278859827898557,0.6728,0.06728,0.8043478260869565
71.06,1.8516252031533091,0.7106,0.07106,0.8152173913043478
78.065,1.8924563640457617,0.78065,0.078065,0.8260869565217391
79.63,1.901076715726255,0.7963,0.07963,0.8369565217391305
85.9,1.9339931638312424,0.859,0.0859,0.8478260869565217
91.11,1.9595660466379277,0.9111,0.09111,0.8586956521739131
97.76,1.990161192898479,0.9776,0.09776,0.8695652173913043
101.985,2.0085363002297925,1.01985,0.101985,0.8804347826086957
107.94,2.033182413729195,1.0794,0.10794,0.8913043478260869
116.45,2.0661394928706995,1.1645,0.11645,0.9021739130434783
124.91,2.096597208357894,1.2491,0.12491,0.9130434782608695
125.655,2.0991797744980807,1.25655,0.125655,0.9239130434782609
136.595,2.1354348024776373,1.36595,0.136595,0.9347826086956522
145.98,2.164293359314462,1.4598,0.14598,0.9456521739130435
157.25,2.1965906541173066,1.5725,0.15725,0.9565217391304348
194.8,2.2895889525425965,1.948,0.1948,0.967391304347826
203.33,2.3082014606510763,2.0333,0.20333,0.9782608695652174
205.295,2.312378372172089,2.05295,0.205295,0.9891304347826086
269.1,2.4299136977637548,2.691,0.2691,1.0
