value,value_log,value_divide_100,value_divide_1000,cdf
3.34,0.5237464668115644,0.0334,0.00334,0.01
12.92,1.1112625136590653,0.1292,0.01292,0.02
25.07,1.3991543339582164,0.2507,0.02507,0.03
36.86,1.566555330883055,0.3686,0.03686,0.04
48.685,1.6873951743423221,0.48685,0.048685,0.05
60.95,1.7849737099544007,0.6095,0.06095,0.06
65.7,1.8175653695597809,0.657,0.0657,0.07
68.89,1.8381561847521477,0.6889,0.06889,0.08
75.43,1.877544107715944,0.7543,0.07543,0.09
80.855,1.9077068814504248,0.80855,0.080855,0.1
83.38,1.9210618907902786,0.8338,0.08338,0.11
87.57,1.9423553497076766,0.8757,0.08757,0.12
91.45,1.9611837098124356,0.9145,0.09145,0.13
94.09,1.9735434685324897,0.9409,0.09409,0.14
96.84,1.9860547807696953,0.9684,0.09684,0.15
103.26,2.0139321207112038,1.0326,0.10326,0.16
105.55,2.023458237643675,1.0555,0.10555,0.17
107.91,2.0330616925381735,1.0791,0.10791,0.18
110.67,2.044029909946466,1.1067,0.11067,0.19
112.83,2.0524245881420615,1.1283,0.11283,0.2
114.98,2.060622304309956,1.1498,0.11498,0.21
119.14,2.076057595762826,1.1914,0.11914,0.22
121.275,2.083771283298101,1.21275,0.121275,0.23
123.0,2.089905111439398,1.23,0.123,0.24
127.04,2.103940485083021,1.2704,0.12704,0.25
128.33,2.1083281942661842,1.2833,0.12833,0.26
129.37,2.111833578148847,1.2937,0.12937,0.27
131.35,2.118430077122089,1.3135,0.13135,0.28
133.51,2.125513795904115,1.3351,0.13351,0.29
134.68,2.129303107716051,1.3468,0.13468,0.3
139.12,2.1433895689946563,1.3912,0.13912,0.31
140.845,2.1487414341336293,1.40845,0.140845,0.32
142.34,2.1533269614909067,1.4234,0.14234,0.33
143.46,2.1567308264994183,1.4346,0.14346,0.34
146.98,2.1672582430436282,1.4698,0.14698,0.35
148.41,2.1714631650838436,1.4841,0.14841,0.36
150.66,2.177997963096566,1.5066,0.15066,0.37
151.94,2.181672122068266,1.5194,0.15194,0.38
153.47,2.186023493117446,1.5347,0.15347,0.39
155.66,2.1921770261127524,1.5566,0.15566,0.4
158.49,2.200001865406602,1.5849,0.15849,0.41
160.49,2.205447977051677,1.6049,0.16049,0.42
162.505,2.2108667280164496,1.62505,0.162505,0.43
165.48,2.2187455122234745,1.6548,0.16548,0.44
166.55,2.2215446370271956,1.6655,0.16655,0.45
172.56,2.236940132094489,1.7256,0.17256,0.46
174.92,2.2428394686728192,1.7492,0.17492,0.47
178.44,2.251492214569579,1.7844,0.17844,0.48
179.45,2.2539434626692585,1.7945,0.17945,0.49
182.33,2.2608581319711405,1.8233,0.18233,0.5
186.865,2.2715279652081843,1.86865,0.186865,0.51
188.66,2.2756798301027032,1.8866,0.18866,0.52
191.11,2.281283412492966,1.9111,0.19111,0.53
194.005,2.287812922942737,1.94005,0.194005,0.54
197.0,2.294466226161593,1.97,0.197,0.55
201.45,2.3041672717243964,2.0145,0.20145,0.56
205.03,2.3118174116958556,2.0503,0.20503,0.57
208.48,2.3190643983685093,2.0848,0.20848,0.58
213.19,2.328766829591525,2.1319,0.21319,0.59
215.42,2.3332860215544344,2.1542,0.21542,0.6
219.2,2.3408405498123317,2.192,0.2192,0.61
221.205,2.344794939304758,2.21205,0.221205,0.62
223.34,2.34896651180206,2.2334,0.22334,0.63
229.56,2.3608962160749205,2.2956,0.22956,0.64
232.04,2.3655628567955596,2.3204,0.23204,0.65
237.94,2.376467457249594,2.3794,0.23794,0.66
243.69,2.386837707954007,2.4369,0.24369,0.67
247.63,2.3938032576550814,2.4763,0.24763,0.68
251.73,2.400934975810852,2.5173,0.25173,0.69
256.54,2.4091550904025807,2.5654,0.25654,0.7
260.065,2.4150819080218526,2.60065,0.260065,0.71
262.315,2.41882312563026,2.62315,0.262315,0.72
268.96,2.429687696095396,2.6896,0.26896,0.73
274.47,2.4384948823144637,2.7447,0.27447,0.74
281.33,2.4492160462062915,2.8133,0.28133,0.75
284.98,2.454814382133351,2.8498,0.28498,0.76
288.33,2.4598898319706746,2.8833,0.28833,0.77
292.29,2.465813957269479,2.9229,0.29229,0.78
297.91,2.474085081502818,2.9791,0.29791,0.79
301.05,2.4786386315431668,3.0105,0.30105,0.8
305.08,2.484413737716676,3.0508,0.30508,0.81
307.355,2.4876402825447137,3.07355,0.307355,0.82
313.81,2.4966667788800487,3.1381,0.31381,0.83
322.73,2.508839337975575,3.2273,0.32273,0.84
328.52,2.5165618141552764,3.2852,0.32852,0.85
330.58,2.5192765753322837,3.3058,0.33058,0.86
339.37,2.530673448440382,3.3937,0.33937,0.87
345.89,2.538938006340474,3.4589,0.34589,0.88
349.55,2.543509306465027,3.4955,0.34955,0.89
355.74,2.5511327007286075,3.5574,0.35574,0.9
360.25,2.556603989486027,3.6025,0.36025,0.91
369.89,2.568072590294782,3.6989,0.36989,0.92
381.72,2.5817449151549883,3.8172,0.38172,0.93
394.34,2.5958708321028716,3.9434,0.39434,0.94
406.64,2.609210096694647,4.0664,0.40664,0.95
423.64,2.626996959365406,4.2364,0.42364,0.96
452.72,2.6558296809272717,4.5272,0.45272,0.97
498.24,2.697438590888026,4.9824,0.49824,0.98
527.12,2.72190949453948,5.2712,0.52712,0.99
575.32,2.759909471780864,5.7532,0.57532,1.0
