grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization,rbs_mean,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90
40.4608,120.0000,8.3200,10.3739,18.5896,27.3264,30.9000,34.6000,38.7420,42.9048,43.5220,43.6804,43.7200,34.6000,42.9048,27.3264,15.5784,8.3048,210.1667,175.0000,220.7500,232.0000,237.2500,244.3000
40.4609,120.0000,23.9200,23.9784,24.2120,24.5040,31.0920,37.5040,38.7480,39.9360,49.7920,57.6768,59.6480,37.5040,39.9360,24.5040,15.4320,2.4320,201.5455,117.0000,208.5000,237.0000,237.0000,247.0000
40.4610,120.0000,25.6400,25.8774,26.8272,27.5472,37.9640,38.8960,45.1440,56.6368,61.1960,64.9816,65.9280,38.8960,56.6368,27.5472,29.0896,17.7408,202.7333,116.6000,202.5000,231.0000,240.0000,240.0000
40.4611,120.0000,10.7680,12.2488,18.1720,25.5760,26.5840,33.3520,42.5760,55.2000,58.4320,61.0176,61.6640,33.3520,55.2000,25.5760,29.6240,21.8480,211.4000,118.8000,226.7500,240.0000,240.0000,241.3000
40.4612,120.0000,14.3280,14.7744,16.5600,18.4080,27.0000,33.4720,39.5360,45.3056,50.2576,55.3379,56.6080,33.4720,45.3056,18.4080,26.8976,11.8336,188.3077,38.8000,190.0000,229.0000,237.0000,239.4000
40.4613,120.0000,14.3600,16.0760,22.9400,27.8240,31.6380,34.2760,42.6000,55.0376,56.4708,58.3470,58.8160,34.2760,55.0376,27.8240,27.2136,20.7616,171.4286,51.5000,121.0000,205.0000,235.2500,240.0000
40.4614,120.0000,34.5840,34.6589,34.9584,35.3440,37.4000,38.4640,42.0240,51.3888,53.8704,54.5501,54.7200,38.4640,51.3888,35.3440,16.0448,12.9248,235.0000,219.9000,228.7500,238.5000,240.0000,249.0000
40.4615,120.0000,6.0560,7.3927,12.7396,18.7480,29.8000,37.3160,40.1900,52.0592,57.4996,61.7271,62.7840,37.3160,52.0592,18.7480,33.3112,14.7432,163.3333,10.5000,114.0000,197.0000,240.0000,240.0000
40.4616,120.0000,24.9200,25.2022,26.3312,27.7424,31.8120,33.5760,54.5080,61.4520,61.5780,61.6788,61.7040,33.5760,61.4520,27.7424,33.7096,27.8760,173.7000,62.3000,87.2500,228.5000,239.2500,241.3000
40.4617,120.0000,28.6240,28.8625,29.8164,30.8296,31.3120,34.9240,41.5420,53.3056,57.5532,61.5906,62.6000,34.9240,53.3056,30.8296,22.4760,18.3816,156.2727,69.0000,92.0000,170.0000,234.5000,237.0000
40.4618,120.0000,21.1600,22.2000,26.3600,31.5600,32.7920,33.2240,37.9560,38.7920,40.4920,41.8520,42.1920,33.2240,38.7920,31.5600,7.2320,5.5680,199.2727,162.0000,183.5000,237.0000,240.0000,240.0000
40.4619,120.0000,26.2880,26.9136,29.4160,32.5440,33.8520,36.9760,40.3960,47.3920,52.8880,57.2848,58.3840,36.9760,47.3920,32.5440,14.8480,10.4160,166.6364,56.0000,123.0000,169.0000,240.0000,240.0000
40.4620,120.0000,8.0960,10.3923,19.5776,27.3408,27.8320,33.8160,42.3520,56.4720,59.2544,59.6077,59.6960,33.8160,56.4720,27.3408,29.1312,22.6560,186.8462,113.4000,125.0000,234.0000,240.0000,240.0000
40.4621,120.0000,5.8800,7.6485,14.7224,19.9456,27.3040,37.5600,45.0120,60.0112,61.5488,63.1706,63.5760,37.5600,60.0112,19.9456,40.0656,22.4512,217.9286,199.9000,235.2500,238.5000,240.0000,240.0000
40.4622,120.0000,16.0400,17.0488,21.0840,25.2160,28.8880,30.7960,36.8180,55.0288,55.8532,56.5146,56.6800,30.7960,55.0288,25.2160,29.8128,24.2328,171.7857,52.3000,126.2500,210.5000,235.5000,239.1000
40.4623,120.0000,20.2080,20.7238,22.7872,25.9592,32.5480,38.2600,50.7740,55.7896,56.2904,56.7813,56.9040,38.2600,55.7896,25.9592,29.8304,17.5296,199.7692,96.4000,190.0000,237.0000,237.0000,240.0000
40.4624,120.0000,21.5360,22.0275,23.9936,24.6656,33.5200,42.1760,56.7280,57.9904,58.8224,60.9933,61.5360,42.1760,57.9904,24.6656,33.3248,15.8144,213.6471,120.4000,216.0000,237.0000,240.0000,240.0000
40.4625,120.0000,26.2960,26.8658,29.1452,29.9392,33.4880,40.1240,51.5120,59.0088,61.3412,62.5978,62.9120,40.1240,59.0088,29.9392,29.0696,18.8848,220.5556,215.7000,222.2500,237.0000,240.0000,240.0000
40.4626,120.0000,9.0800,10.4336,15.8480,18.6160,21.9760,31.9920,37.9440,44.2112,51.1672,54.1566,54.9040,31.9920,44.2112,18.6160,25.5952,12.2192,184.2632,17.4000,145.5000,234.0000,240.0000,242.0000
40.4627,120.0000,14.3680,16.5388,22.4472,22.5424,26.0380,36.8440,55.7940,61.2240,62.8060,64.6502,65.2960,36.8440,61.2240,22.5424,38.6816,24.3800,166.4643,13.7000,74.7500,234.0000,240.0000,240.0000
40.4628,120.0000,7.1280,8.9350,10.0752,10.8912,12.7280,21.9520,27.6320,33.9136,42.2080,57.5379,64.3280,21.9520,33.9136,10.8912,23.0224,11.9616,106.6207,7.5000,8.0000,37.0000,234.2500,245.0000
40.4629,120.0000,9.6000,13.4957,26.2000,28.6128,31.2640,34.8640,36.7600,41.3200,41.5344,46.8640,48.5440,34.8640,41.3200,28.6128,12.7072,6.4560,180.9200,50.2000,123.0000,237.0000,244.0000,253.0000
40.4630,120.0000,23.2320,23.6230,25.1872,26.3192,27.3240,31.8800,34.6280,36.3528,38.1200,40.6992,41.3440,31.8800,36.3528,26.3192,10.0336,4.4728,201.5714,40.3000,225.7500,244.5000,250.0000,253.0000
40.4631,120.0000,22.6240,22.8320,23.6640,24.7040,26.8960,32.0480,34.4760,41.0400,42.4520,43.5816,43.8640,32.0480,41.0400,24.7040,16.3360,8.9920,207.5455,125.0000,222.5000,237.0000,247.0000,250.0000
40.4632,120.0000,27.0000,27.0256,27.1280,27.2560,27.9360,32.0720,35.6800,36.9056,39.3088,41.2314,41.7120,32.0720,36.9056,27.2560,9.6496,4.8336,154.6667,11.4000,21.0000,226.0000,250.0000,250.6000
40.4633,120.0000,8.8960,8.9601,9.2164,9.5368,20.9320,23.1000,27.1280,28.8144,35.1432,40.2062,41.4720,23.1000,28.8144,9.5368,19.2776,5.7144,189.3000,3.0000,215.7500,232.5000,241.5000,250.1000
40.4634,120.0000,27.3520,27.3648,27.4160,27.4800,27.9600,32.1680,32.5120,33.4432,35.2096,36.6227,36.9760,32.1680,33.4432,27.4800,5.9632,1.2752,213.5556,143.6000,240.0000,247.0000,253.0000,253.0000
40.4635,120.0000,26.4480,26.4744,26.5800,26.7120,27.1920,28.3440,31.2560,32.7920,37.0160,40.3952,41.2400,28.3440,32.7920,26.7120,6.0800,4.4480,170.6364,7.0000,73.5000,244.0000,250.0000,253.0000
