grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,median,upper_bound,lower_bound,variation,under_utilization
40.4605,120.0000,7.6160,8.8342,11.7552,16.2624,25.4960,37.8240,45.3680,61.0576,63.0512,67.1792,67.7120,37.8240,61.0576,16.2624,44.7952,23.2336
40.4606,120.0000,0.7600,5.9680,10.4824,12.7792,24.1320,33.8160,50.2280,57.9952,62.3680,66.6709,67.1520,33.8160,57.9952,12.7792,45.2160,24.1792
40.4607,120.0000,4.9200,6.1296,9.6400,13.5280,23.6240,30.8400,53.9440,60.1520,62.6960,65.6864,66.5920,30.8400,60.1520,13.5280,46.6240,29.3120
40.4608,120.0000,1.9360,3.1120,6.7632,8.1968,18.3360,34.2000,43.7200,59.5200,60.8576,62.4134,62.6800,34.2000,59.5200,8.1968,51.3232,25.3200
40.4609,120.0000,6.4800,7.0202,11.4176,15.6128,29.7360,38.9280,56.7200,62.4720,63.7072,69.4970,71.8240,38.9280,62.4720,15.6128,46.8592,23.5440
40.4610,120.0000,13.2000,14.2182,16.1968,20.5248,27.4680,40.0480,54.7460,62.3624,64.5544,66.7798,67.2800,40.0480,62.3624,20.5248,41.8376,22.3144
40.4611,120.0000,0.7200,3.1338,9.8512,13.5264,25.1880,33.3520,55.4080,61.5552,62.8080,66.1118,67.8720,33.3520,61.5552,13.5264,48.0288,28.2032
40.4612,120.0000,8.1040,8.3255,12.0160,14.1672,17.1260,27.4600,46.4020,56.6536,58.1328,63.3790,65.1200,27.4600,56.6536,14.1672,42.4864,29.1936
40.4613,120.0000,1.6320,2.7933,9.2960,12.2880,26.3200,34.9600,53.7160,59.1888,62.3104,62.8866,63.0720,34.9600,59.1888,12.2880,46.9008,24.2288
40.4614,120.0000,12.8480,13.2584,14.7560,15.7664,27.1720,38.4640,51.5840,58.5008,60.8264,65.3752,67.4880,38.4640,58.5008,15.7664,42.7344,20.0368
40.4615,120.0000,1.5360,3.3892,11.0992,14.5944,18.2240,33.2400,49.2860,57.3872,60.9792,63.9262,64.7200,33.2400,57.3872,14.5944,42.7928,24.1472
40.4616,120.0000,1.6000,2.8331,14.2144,14.8752,24.7680,35.9760,51.8640,62.5296,66.6968,67.8270,67.8640,35.9760,62.5296,14.8752,47.6544,26.5536
40.4617,120.0000,3.0880,5.3375,11.4780,15.6776,25.1020,35.4360,53.4660,62.6712,65.8268,68.3843,69.2080,35.4360,62.6712,15.6776,46.9936,27.2352
40.4618,120.0000,4.8800,8.3302,14.8800,15.7936,25.2880,34.0320,51.4080,63.6752,66.8352,67.6800,67.7520,34.0320,63.6752,15.7936,47.8816,29.6432
40.4619,120.0000,1.3280,2.0430,6.6560,9.4024,18.9540,35.4120,51.6720,63.4536,65.6360,69.0775,71.3440,35.4120,63.4536,9.4024,54.0512,28.0416
40.4620,120.0000,1.0160,3.8265,8.7608,13.5104,19.5360,33.0600,51.3460,62.8648,65.9748,67.1477,67.4160,33.0600,62.8648,13.5104,49.3544,29.8048
40.4621,120.0000,2.8160,3.9803,9.0192,14.3904,20.3040,31.5760,40.4680,61.4384,63.8936,67.3125,67.6560,31.5760,61.4384,14.3904,47.0480,29.8624
40.4622,120.0000,3.8080,5.3116,11.3860,13.0280,20.5180,28.8240,34.9020,54.7760,57.8340,64.5928,66.3680,28.8240,54.7760,13.0280,41.7480,25.9520
40.4623,120.0000,0.5440,2.0291,11.7772,13.5272,16.1420,32.2080,46.7060,57.3016,65.3120,67.0793,68.1120,32.2080,57.3016,13.5272,43.7744,25.0936
40.4624,120.0000,4.2800,4.5589,5.6520,7.9328,16.3200,33.3840,50.2400,60.8448,62.3280,65.1326,65.3040,33.3840,60.8448,7.9328,52.9120,27.4608
40.4625,120.0000,9.0640,9.8471,11.2012,12.8624,15.8440,30.4840,43.4060,58.4216,63.0308,65.6833,65.9360,30.4840,58.4216,12.8624,45.5592,27.9376
40.4626,120.0000,5.8160,7.4480,10.4600,14.2880,17.3080,24.7360,35.1160,43.6240,52.8280,63.8680,64.3920,24.7360,43.6240,14.2880,29.3360,18.8880
40.4627,120.0000,0.3280,0.5782,8.7832,11.5144,16.2880,26.7840,51.0520,61.6160,64.4296,65.8682,66.0240,26.7840,61.6160,11.5144,50.1016,34.8320
40.4628,120.0000,1.2320,6.1718,9.4704,10.7200,14.1360,24.0400,34.0400,46.5248,55.0784,64.4202,64.9040,24.0400,46.5248,10.7200,35.8048,22.4848
40.4629,120.0000,0.3200,1.0261,5.9984,11.7264,18.4600,24.9040,31.3600,38.8224,41.6272,48.4835,51.4640,24.9040,38.8224,11.7264,27.0960,13.9184
40.4630,120.0000,11.2080,11.6957,12.9040,14.2048,16.2320,27.3200,36.3840,44.1488,49.9072,67.6698,70.4000,27.3200,44.1488,14.2048,29.9440,16.8288
40.4631,120.0000,6.4160,8.4960,11.9552,12.4544,15.7760,24.7040,38.1360,47.7168,60.8432,62.4266,62.6720,24.7040,47.7168,12.4544,35.2624,23.0128
40.4632,120.0000,1.7520,1.7558,11.0048,12.3600,15.6640,25.2560,38.5760,44.9648,59.2992,66.0102,66.0640,25.2560,44.9648,12.3600,32.6048,19.7088
40.4633,120.0000,2.4400,4.8467,9.1096,12.0672,13.7120,21.4880,27.2960,39.6576,43.5192,56.2888,63.7040,21.4880,39.6576,12.0672,27.5904,18.1696
40.4634,120.0000,0.6880,1.3051,7.8632,10.2704,13.0760,16.4800,33.1280,38.8544,41.7104,55.7443,62.1040,16.4800,38.8544,10.2704,28.5840,22.3744
40.4635,120.0000,4.2880,6.3430,9.8472,13.0192,14.4960,26.7120,33.6640,45.1424,48.4696,62.7235,62.9120,26.7120,45.1424,13.0192,32.1232,18.4304
40.4636,120.0000,2.3280,3.1339,7.2416,10.6176,12.6280,22.3920,34.3280,44.2960,64.8464,66.7042,67.4880,22.3920,44.2960,10.6176,33.6784,21.9040
40.4637,120.0000,2.9200,4.3398,6.9160,9.0160,12.5740,25.8440,32.0960,38.8784,46.6924,66.2280,66.8400,25.8440,38.8784,9.0160,29.8624,13.0344
40.4638,120.0000,7.0080,8.1291,10.1832,10.4336,13.5720,26.0480,32.1760,37.9688,58.5224,68.5859,69.0720,26.0480,37.9688,10.4336,27.5352,11.9208
40.4639,120.0000,0.3840,5.1472,10.2752,11.9488,14.6240,21.5520,27.4400,34.8224,36.5120,46.4573,54.8480,21.5520,34.8224,11.9488,22.8736,13.2704
40.4640,120.0000,9.0960,9.1796,10.1160,11.7920,16.8000,24.3200,33.4900,38.5320,65.9400,68.2880,68.7280,24.3200,38.5320,11.7920,26.7400,14.2120
40.4641,120.0000,0.3280,0.5440,4.7520,9.6080,12.9600,22.6240,28.7360,37.7600,44.2800,63.8688,64.4640,22.6240,37.7600,9.6080,28.1520,15.1360
40.4642,120.0000,5.2080,5.9669,7.1940,8.6544,18.5540,24.4400,27.3520,41.7344,45.8372,67.5680,71.2400,24.4400,41.7344,8.6544,33.0800,17.2944
40.4643,120.0000,0.7280,2.3032,8.2600,9.5080,14.3760,23.3760,27.5440,45.4400,48.7600,56.7368,64.8240,23.3760,45.4400,9.5080,35.9320,22.0640
40.4644,120.0000,0.7680,1.3504,8.1152,9.9744,14.9680,22.2240,28.2160,52.5008,56.7264,66.6150,72.1120,22.2240,52.5008,9.9744,42.5264,30.2768
40.4645,120.0000,2.0480,4.0676,9.0896,10.6808,16.2940,22.8760,32.2440,57.9136,61.5580,68.5919,70.0240,22.8760,57.9136,10.6808,47.2328,35.0376
40.4646,120.0000,4.0480,4.4557,10.2208,10.7600,20.7600,25.3040,52.3760,59.3472,61.5872,66.0662,67.9120,25.3040,59.3472,10.7600,48.5872,34.0432
40.4647,120.0000,3.8640,6.3343,9.5576,10.3048,16.9640,25.4960,39.6100,49.6696,53.5544,62.0444,63.3040,25.4960,49.6696,10.3048,39.3648,24.1736
40.4648,120.0000,3.5280,4.9008,7.0208,8.1360,10.9840,22.8000,28.0400,56.9136,59.9376,64.5312,67.5680,22.8000,56.9136,8.1360,48.7776,34.1136
40.4649,120.0000,0.1760,0.2754,1.7312,6.9952,10.6240,21.7280,28.9720,52.3568,56.8432,57.3229,57.3920,21.7280,52.3568,6.9952,45.3616,30.6288
40.4650,120.0000,3.7680,3.8314,8.5904,8.8400,19.9940,23.8680,30.1040,55.1352,57.8436,61.0783,62.3520,23.8680,55.1352,8.8400,46.2952,31.2672
40.4651,120.0000,6.3520,6.7072,8.9200,9.7920,18.4640,26.3600,57.3360,66.1760,69.3920,72.3584,72.7040,26.3600,66.1760,9.7920,56.3840,39.8160
40.4652,120.0000,2.2720,4.5082,8.7832,10.6288,23.4320,37.7760,67.6640,71.9928,72.7812,75.0305,77.7120,37.7760,71.9928,10.6288,61.3640,34.2168
40.4653,120.0000,1.8880,4.1294,10.2584,11.8416,20.6280,23.6560,27.8860,45.5192,57.9380,68.4702,69.8720,23.6560,45.5192,11.8416,33.6776,21.8632
40.4654,120.0000,0.1200,0.3632,8.7200,9.9600,19.7440,25.0480,39.9440,46.9360,49.7120,57.5184,63.6560,25.0480,46.9360,9.9600,36.9760,21.8880
40.4655,120.0000,3.6320,6.8230,8.6000,10.0272,19.7280,25.3600,41.8000,67.0192,70.4544,72.7030,73.9760,25.3600,67.0192,10.0272,56.9920,41.6592
40.4656,120.0000,0.1040,1.2240,8.2800,8.9680,12.4720,24.5440,34.0240,58.0400,68.0120,70.8824,72.5120,24.5440,58.0400,8.9680,49.0720,33.4960
40.4657,120.0000,1.6560,6.0576,10.2720,13.3280,22.3760,24.3440,34.9600,56.9200,67.6240,67.9072,67.9120,24.3440,56.9200,13.3280,43.5920,32.5760
40.4658,120.0000,0.1040,0.1401,6.1872,10.8776,22.3420,24.9440,37.6080,57.3536,66.2844,71.7866,72.2720,24.9440,57.3536,10.8776,46.4760,32.4096
40.4659,120.0000,10.6320,13.6557,18.3104,20.0000,23.9600,26.0240,39.6400,63.0416,68.6864,72.3843,72.7680,26.0240,63.0416,20.0000,43.0416,37.0176
40.4660,120.0000,9.3760,10.3348,13.8128,16.3720,23.0640,25.8680,34.5500,58.6920,70.2144,72.2835,72.4640,25.8680,58.6920,16.3720,42.3200,32.8240
40.4661,120.0000,1.6000,2.6080,4.8784,9.0800,20.5600,25.8640,40.1640,56.0240,66.8752,69.7075,71.6160,25.8640,56.0240,9.0800,46.9440,30.1600
40.4662,120.0000,1.6480,4.8506,11.4436,18.1304,22.5380,25.4320,35.4980,57.0624,62.7364,70.5609,72.3600,25.4320,57.0624,18.1304,38.9320,31.6304
40.4663,120.0000,2.0240,2.1808,3.4000,12.4880,24.2480,28.9520,34.2800,63.7920,71.5280,72.9440,73.5200,28.9520,63.7920,12.4880,51.3040,34.8400
40.4664,120.0000,0.7600,1.3720,9.8880,18.9600,24.2040,28.8080,41.4400,59.6800,63.0440,69.2320,69.6560,28.8080,59.6800,18.9600,40.7200,30.8720
40.4665,120.0000,3.5520,4.6705,8.6984,12.8384,23.6640,26.1360,34.2680,57.8360,62.4304,68.9897,70.8560,26.1360,57.8360,12.8384,44.9976,31.7000
40.4666,120.0000,3.8000,5.8874,10.0592,13.8688,22.5200,25.5440,41.7360,53.0896,61.1952,63.8310,64.0000,25.5440,53.0896,13.8688,39.2208,27.5456
40.4667,120.0000,8.3200,8.4886,10.3904,12.1616,23.1220,28.2400,52.3300,59.2968,61.5344,64.9169,66.5280,28.2400,59.2968,12.1616,47.1352,31.0568
40.4668,120.0000,0.7600,1.1920,6.5140,8.5440,23.6260,27.7960,41.7880,53.9000,58.2460,61.5156,62.3760,27.7960,53.9000,8.5440,45.3560,26.1040
