grid_lat,grid_height,best_c1_thput,best_c2_thput,c1_sample_num,c2_sample_num,duration_ratio_best_c1,duration_ratio_best_c2
40.4605,0,14.192,15.671,4,26,0.13333333333333333,0.8333333333333334
40.4605,30,21.116,None,21,0,0.5714285714285714,None
40.4605,60,2.836,None,4,0,1.0,None
40.4605,90,53.624,None,3,0,0.3333333333333333,None
40.4605,120,42.884,22.311999999999998,29,8,0.7837837837837838,0.21621621621621623
40.4606,0,14.144,17.323999999999998,1,274,0.0033333333333333335,0.9133333333333333
40.4606,30,19.740000000000002,63.82,64,16,0.35,0.2
40.4606,60,52.612,64.84,100,8,0.4814814814814815,0.027777777777777776
40.4606,90,47.6,67.57111111111111,90,19,0.8256880733944956,0.03669724770642202
40.4606,120,58.208,12.152,58,5,0.20634920634920634,0.07936507936507936
40.4607,0,6.604,12.376666666666667,2,62,0.03125,0.96875
40.4607,30,41.348,50.147999999999996,73,6,0.10126582278481013,0.0759493670886076
40.4607,60,51.828,64.728,68,7,0.3908045977011494,0.034482758620689655
40.4607,90,55.792,62.230666666666664,58,19,0.2857142857142857,0.2077922077922078
40.4607,120,58.952,61.552,28,13,0.17073170731707316,0.07317073170731707
40.4608,0,10.784,10.594285714285714,1,17,0.05555555555555555,0.9444444444444444
40.4608,30,44.332,59.204,70,4,0.05405405405405406,0.05405405405405406
40.4608,60,62.432,61.896,53,6,0.3968253968253968,0.047619047619047616
40.4608,90,56.216,50.147,31,11,0.30952380952380953,0.26190476190476186
40.4608,120,58.616,7.704,25,4,0.20689655172413793,0.034482758620689655
40.4609,0,8.108,9.376,2,23,0.07692307692307693,0.8846153846153846
40.4609,30,40.784,64.152,55,5,0.06666666666666667,0.08333333333333333
40.4609,60,65.46799999999999,63.656,48,4,0.27586206896551724,0.05172413793103448
40.4609,90,53.372,60.34111111111111,30,10,0.2,0.25
40.4609,120,62.275999999999996,41.42,29,4,0.18181818181818182,0.12121212121212122
40.461,0,9.688,10.632000000000001,1,18,0.05263157894736842,0.9473684210526315
40.461,30,35.184,62.712,51,7,0.43103448275862066,0.1206896551724138
40.461,60,61.936,62.436,54,8,0.3088235294117647,0.058823529411764705
40.461,90,54.54,48.643,33,10,0.27906976744186046,0.06976744186046512
40.461,120,56.824,26.112,35,3,0.2631578947368421,0.07894736842105263
40.4611,0,12.48,10.462857142857143,1,17,0.05,0.85
40.4611,30,56.04,61.444,58,6,0.046875,0.09375
40.4611,60,62.376000000000005,64.97200000000001,50,2,0.2857142857142857,0.031746031746031744
40.4611,90,53.788,47.882,28,10,0.325,0.075
40.4611,120,57.816,28.824,34,5,0.38461538461538464,0.1282051282051282
40.4612,0,9.152,8.92,1,15,0.058823529411764705,0.8823529411764706
40.4612,30,60.888000000000005,60.032,73,5,0.02564102564102564,0.0641025641025641
40.4612,60,60.68,63.800000000000004,47,2,0.22535211267605634,0.028169014084507043
40.4612,90,50.048,51.641999999999996,27,9,0.30952380952380953,0.047619047619047616
40.4612,120,57.064,12.456,36,4,0.175,0.1
40.4613,0,7.896,9.665,1,19,0.05,0.95
40.4613,30,45.512,None,63,0,0.015873015873015872,None
40.4613,60,59.984,32.576,42,2,0.28846153846153844,0.038461538461538464
40.4613,90,55.656,42.441,28,10,0.2857142857142857,0.07142857142857142
40.4613,120,52.792,42.404,35,4,0.358974358974359,0.10256410256410256
40.4614,0,8.048,8.76,1,15,0.058823529411764705,0.8823529411764706
40.4614,30,41.528,None,62,0,0.6129032258064516,None
40.4614,60,57.272,64.88,44,3,0.23636363636363636,0.05454545454545454
40.4614,90,56.004000000000005,48.89838888888889,28,13,0.25,0.2954545454545454
40.4614,120,53.704,31.095999999999997,33,6,0.33333333333333337,0.15384615384615385
40.4615,0,5.208,7.893714285714285,1,18,0.05,0.9
40.4615,30,43.236000000000004,None,69,0,0.47826086956521735,None
40.4615,60,62.288,48.548,40,9,0.25925925925925924,0.1111111111111111
40.4615,90,53.864,65.30577777777778,28,12,0.275,0.225
40.4615,120,49.46,33.0,34,7,0.30952380952380953,0.16666666666666666
40.4616,0,5.536,8.638714285714286,1,16,0.05555555555555555,0.8888888888888888
40.4616,30,38.98,None,74,0,0.918918918918919,None
40.4616,60,62.092,67.49199999999999,37,8,0.24489795918367346,0.04081632653061224
40.4616,90,47.472,50.865,20,14,0.08571428571428572,0.05714285714285714
40.4616,120,57.364000000000004,28.608,36,7,0.27906976744186046,0.16279069767441862
40.4617,0,0.0,7.528,0,15,None,0.9375
40.4617,30,38.96,None,86,0,1.0,None
40.4617,60,53.24,53.456,43,8,0.23214285714285715,0.125
40.4617,90,53.68000000000001,63.97777777777778,24,14,0.2926829268292683,0.21951219512195122
40.4617,120,54.152,29.4,29,9,0.3421052631578947,0.23684210526315788
40.4618,0,5.948,7.605714285714285,2,13,0.13333333333333333,0.8666666666666667
40.4618,30,36.528,None,65,0,1.0,None
40.4618,60,63.12,55.652,48,8,0.2786885245901639,0.13114754098360656
40.4618,90,51.8,61.11644444444445,22,11,0.32432432432432434,0.24324324324324326
40.4618,120,57.032,32.92,28,6,0.2647058823529412,0.17647058823529413
40.4619,0,5.4,6.4,1,13,0.06666666666666667,0.8666666666666667
40.4619,30,42.08,17.896,86,1,0.367816091954023,0.011494252873563218
40.4619,60,63.528,66.152,48,10,0.31666666666666665,0.06666666666666667
40.4619,90,56.504,58.4195,27,15,0.3409090909090909,0.2727272727272727
40.4619,120,63.412,33.696,29,9,0.2631578947368421,0.23684210526315788
40.462,0,5.048,6.824,1,15,0.058823529411764705,0.8823529411764706
40.462,30,39.04,64.184,67,3,0.8714285714285714,0.04285714285714286
40.462,60,66.792,38.964,47,12,0.2833333333333333,0.2
40.462,90,53.275999999999996,64.39422222222223,31,12,0.2222222222222222,0.17777777777777778
40.462,120,62.135999999999996,30.368,29,11,0.15,0.275
