grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.4628,90,749,520110,3,5G,282,224,0.7943262411347518,274,216,0.7883211678832117,0.466066798941799,0.16129029984821583,0.008,0.296,0.384,0.44,0.56,0.64,1.12,26.972910052910056,11.090729378249629,0.944,12.9155,18.823999999999998,23.631999999999998,37.522,41.492,47.8,
40.4628,90,700,125290,1,5G,282,22,0.07801418439716312,274,22,0.08029197080291971,0.3541818181818182,0.0917920754965642,0.088,0.28080000000000005,0.306,0.344,0.40599999999999997,0.4776,0.52,20.56654545454546,6.77634586918665,0.352,16.101599999999998,17.092,18.228,25.396,30.404800000000005,31.264,
40.4628,90,317,520110,4,5G,282,31,0.1099290780141844,274,31,0.11313868613138686,0.5372903225806451,0.1634100706709049,0.184,0.328,0.40800000000000003,0.584,0.656,0.728,0.824,34.87690322580645,13.434473161224709,2.712,18.856,24.92,37.344,43.38,51.512,60.072,
40.4628,90,459,520110,5,5G,282,5,0.01773049645390071,274,5,0.01824817518248175,0.7312,0.16785517567236344,0.456,0.5488,0.688,0.728,0.816,0.9072,0.968,46.3504,12.492210846763674,22.2,32.0624,46.856,52.056,54.032,55.5776,56.608,
40.4628,90,721,520110,2,5G,282,0,0.0,274,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4627,90,459,520110,5,5G,30,7,0.23333333333333334,28,6,0.21428571428571427,0.8586666666666667,0.08048740412152837,0.792,0.796,0.808,0.84,0.848,0.94,1.032,57.90266666666667,4.504439094444009,49.0,52.512,56.564,59.2,61.494,61.996,62.072,
40.4627,90,749,520110,3,5G,30,11,0.36666666666666664,28,10,0.35714285714285715,0.5456000000000001,0.13965901331457273,0.232,0.412,0.49,0.572,0.624,0.6472,0.784,26.231199999999994,7.934403428109767,3.528,23.4216,27.124,27.887999999999998,28.646,31.5112,34.6,
40.4627,90,700,125290,1,5G,30,12,0.4,28,12,0.42857142857142855,0.37800000000000006,0.1170356071173783,0.152,0.32080000000000003,0.334,0.356,0.416,0.44480000000000003,0.688,18.477999999999998,6.276913997605299,3.496,14.267199999999999,16.240000000000002,17.288,24.892000000000003,25.323999999999998,27.352,
40.4627,90,721,520110,2,5G,30,0,0.0,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4627,90,317,520110,4,5G,30,0,0.0,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4626,90,749,520110,3,5G,25,12,0.48,22,10,0.45454545454545453,0.4144,0.0632759037865126,0.264,0.37920000000000004,0.392,0.404,0.46,0.4888,0.496,26.196800000000003,7.1430487160595515,8.04,22.4112,25.058,26.028,30.77,32.4536,36.464,
40.4626,90,459,520110,5,5G,25,4,0.16,22,3,0.13636363636363635,0.632,0.21496046148071046,0.328,0.4192,0.556,0.784,0.784,0.784,0.784,43.704,21.628669368841596,13.12,22.214399999999998,35.855999999999995,58.592,58.995999999999995,59.2384,59.4,
40.4626,90,700,125290,1,5G,25,9,0.36,22,9,0.4090909090909091,0.40444444444444444,0.03180185567999701,0.352,0.3648,0.368,0.424,0.424,0.44,0.44,22.83111111111111,3.9305462567616747,16.336,17.5008,18.208,24.92,25.624,26.736,26.736,
40.4626,90,721,520110,2,5G,25,0,0.0,22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4626,90,317,520110,4,5G,25,0,0.0,22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4625,90,749,520110,3,5G,21,10,0.47619047619047616,19,9,0.47368421052631576,0.4808888888888889,0.09378514978922652,0.4,0.4064,0.416,0.424,0.536,0.5872,0.696,29.745777777777775,4.104050730078971,25.056,25.337600000000002,27.28,27.912,32.144,35.985600000000005,37.176,
