grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4604,0.0000,359.0000,340.0000,0.9471,336.0000,0.9359,4.0000,0.0111,1.2354
40.4604,30.0000,6.0000,6.0000,1.0000,0.0000,0.0000,6.0000,1.0000,1.7500
40.4605,0.0000,76.0000,69.0000,0.9079,65.0000,0.8553,4.0000,0.0526,1.0395
40.4605,30.0000,21.0000,21.0000,1.0000,0.0000,0.0000,21.0000,1.0000,1.7500
40.4605,120.0000,37.0000,37.0000,1.0000,8.0000,0.2162,29.0000,0.7838,1.7500
40.4606,0.0000,314.0000,285.0000,0.9076,284.0000,0.9045,1.0000,0.0032,1.0382
40.4606,30.0000,81.0000,81.0000,1.0000,16.0000,0.1975,65.0000,0.8025,1.7500
40.4606,60.0000,84.0000,84.0000,1.0000,0.0000,0.0000,84.0000,1.0000,1.7500
40.4606,90.0000,84.0000,84.0000,1.0000,0.0000,0.0000,84.0000,1.0000,1.7500
40.4606,120.0000,63.0000,63.0000,1.0000,5.0000,0.0794,58.0000,0.9206,1.7500
40.4607,0.0000,76.0000,75.0000,0.9868,73.0000,0.9605,2.0000,0.0263,1.4803
40.4607,30.0000,81.0000,81.0000,1.0000,6.0000,0.0741,75.0000,0.9259,1.7500
40.4607,60.0000,55.0000,55.0000,1.0000,0.0000,0.0000,55.0000,1.0000,1.7500
40.4607,90.0000,54.0000,54.0000,1.0000,0.0000,0.0000,54.0000,1.0000,1.7500
40.4607,120.0000,41.0000,41.0000,1.0000,13.0000,0.3171,28.0000,0.6829,1.7500
40.4608,0.0000,27.0000,26.0000,0.9630,25.0000,0.9259,1.0000,0.0370,1.3310
40.4608,30.0000,74.0000,74.0000,1.0000,4.0000,0.0541,70.0000,0.9459,1.7500
40.4608,60.0000,40.0000,40.0000,1.0000,0.0000,0.0000,40.0000,1.0000,1.7500
40.4608,90.0000,29.0000,29.0000,1.0000,0.0000,0.0000,29.0000,1.0000,1.7500
40.4608,120.0000,29.0000,29.0000,1.0000,4.0000,0.1379,25.0000,0.8621,1.7500
40.4609,0.0000,25.0000,24.0000,0.9600,22.0000,0.8800,2.0000,0.0800,1.3125
40.4609,30.0000,60.0000,60.0000,1.0000,5.0000,0.0833,55.0000,0.9167,1.7500
40.4609,60.0000,38.0000,38.0000,1.0000,0.0000,0.0000,38.0000,1.0000,1.7500
40.4609,90.0000,29.0000,29.0000,1.0000,0.0000,0.0000,29.0000,1.0000,1.7500
40.4609,120.0000,33.0000,33.0000,1.0000,4.0000,0.1212,29.0000,0.8788,1.7500
40.4610,0.0000,24.0000,23.0000,0.9583,22.0000,0.9167,1.0000,0.0417,1.3021
40.4610,30.0000,58.0000,58.0000,1.0000,7.0000,0.1207,51.0000,0.8793,1.7500
40.4610,60.0000,42.0000,42.0000,1.0000,0.0000,0.0000,42.0000,1.0000,1.7500
40.4610,90.0000,30.0000,30.0000,1.0000,0.0000,0.0000,30.0000,1.0000,1.7500
