grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,total_sample
40.4610,0.0000,-114.4920,-113.8379,-110.1031,-107.4948,-104.1292,-99.6562,-95.8125,-90.6688,-88.8969,-88.2169,-86.4375,448.0000
40.4610,30.0000,-93.6250,-91.7000,-89.7500,-87.2890,-85.5940,-74.8750,-68.8125,-67.7500,-67.3125,-66.8750,-66.6250,1021.0000
40.4610,60.0000,-90.2890,-88.6875,-87.5625,-86.8312,-84.9123,-83.0940,-81.7500,-80.4812,-79.8348,-79.2149,-78.0080,718.0000
40.4610,90.0000,-96.3125,-94.6488,-93.7500,-93.0625,-90.9200,-86.4380,-84.1875,-82.7603,-82.2034,-80.9041,-80.5230,582.0000
40.4610,120.0000,-93.5390,-92.8897,-90.7812,-89.8750,-87.9375,-85.6875,-84.5625,-83.6875,-83.1877,-82.8565,-82.6875,631.0000
40.4611,0.0000,-114.8980,-114.5406,-108.6443,-107.2796,-102.9490,-98.2500,-93.0625,-88.5375,-87.3500,-85.4150,-83.9375,467.0000
40.4611,30.0000,-92.7580,-92.0432,-90.6296,-87.3566,-85.4840,-75.6250,-68.9375,-68.0625,-67.7500,-67.3550,-66.7500,1269.0000
40.4611,60.0000,-90.1875,-88.4663,-87.5187,-86.9750,-85.5625,-83.6020,-82.0625,-80.3125,-79.9541,-79.3800,-78.5080,755.0000
40.4611,90.0000,-94.3750,-94.0625,-93.3531,-91.5812,-89.8750,-85.0000,-83.7500,-82.8472,-82.6170,-81.3932,-81.2810,508.0000
40.4611,120.0000,-93.4450,-92.1875,-91.3750,-90.3750,-88.4611,-86.0000,-85.0509,-83.8125,-83.4072,-83.1846,-83.0620,682.0000
40.4612,0.0000,-114.9840,-113.7717,-110.2005,-107.4250,-103.4060,-98.0938,-92.7031,-89.4562,-88.4750,-85.2362,-83.8125,464.0000
40.4612,30.0000,-92.5940,-91.8590,-90.3689,-89.1752,-86.1135,-75.5000,-70.4375,-68.0000,-67.8750,-67.4788,-66.7500,1567.0000
40.4612,60.0000,-90.1250,-89.3350,-88.3125,-87.6434,-85.0275,-83.4375,-81.8945,-80.6875,-79.6907,-78.1560,-77.5000,683.0000
40.4612,90.0000,-94.4375,-94.1713,-93.4813,-91.1250,-89.9493,-86.6170,-84.6875,-82.9968,-82.8384,-82.4440,-81.7030,527.0000
40.4612,120.0000,-96.3125,-93.5273,-93.0000,-91.6250,-89.0860,-86.1250,-84.8750,-83.5625,-83.3162,-83.1250,-82.3590,731.0000
40.4613,0.0000,-113.6170,-113.0233,-110.1719,-108.9065,-104.2067,-100.3438,-91.2656,-90.0312,-87.1562,-86.2656,-85.8750,326.0000
40.4613,30.0000,-92.3360,-91.8980,-90.3557,-88.3488,-85.8050,-76.8750,-69.9375,-68.5625,-68.1250,-67.3750,-67.0000,1135.0000
40.4613,60.0000,-94.1250,-89.0481,-88.0000,-87.2500,-86.1875,-83.9650,-82.1250,-80.9562,-79.8258,-78.9877,-78.0080,724.0000
40.4613,90.0000,-93.8200,-92.9832,-91.0469,-90.5000,-89.4375,-85.5625,-84.1406,-83.1055,-82.7678,-82.5442,-82.3590,566.0000
40.4613,120.0000,-96.6800,-94.4375,-93.3375,-92.3750,-90.6095,-86.3125,-85.5000,-83.8125,-83.5625,-82.6737,-81.8980,727.0000
40.4614,0.0000,-112.5625,-111.7904,-110.4375,-106.9449,-103.3435,-99.5820,-95.2031,-89.0938,-87.2219,-85.8125,-85.5000,358.0000
40.4614,30.0000,-92.6250,-92.1996,-89.4607,-88.2540,-85.7050,-77.7500,-69.8750,-68.1250,-67.6250,-66.5625,-66.2500,1116.0000
40.4614,60.0000,-90.4375,-89.5200,-88.4344,-87.1875,-85.4375,-83.9060,-82.1720,-81.1877,-80.5625,-78.3070,-77.5000,685.0000
40.4614,90.0000,-93.5000,-91.7500,-91.3125,-90.8750,-89.8750,-85.8280,-84.5625,-83.0590,-82.9450,-82.8526,-82.7030,509.0000
40.4614,120.0000,-97.8750,-95.7000,-94.8125,-93.5625,-91.5000,-86.4375,-85.5625,-83.6560,-83.4300,-83.2500,-83.1020,661.0000
40.4615,0.0000,-113.6250,-112.5025,-110.6500,-107.5734,-103.9530,-101.1875,-97.8125,-91.3750,-90.7500,-89.0675,-88.4375,345.0000
40.4615,30.0000,-93.0080,-92.2580,-88.9723,-87.4580,-85.0940,-76.8125,-69.8125,-68.4750,-68.1250,-67.7500,-67.4375,1227.0000
40.4615,60.0000,-95.1330,-92.4009,-88.9375,-88.1993,-86.1875,-84.2420,-82.3125,-80.6250,-79.8102,-78.3165,-77.5000,628.0000
40.4615,90.0000,-94.8125,-93.7724,-91.6250,-91.2062,-90.3633,-85.8750,-84.8750,-83.3051,-82.9048,-82.6090,-82.2890,538.0000
40.4615,120.0000,-96.3125,-96.1875,-92.8477,-92.0940,-90.9690,-86.5620,-85.5585,-84.0625,-83.5080,-83.2500,-82.0000,691.0000
40.4616,0.0000,-113.0625,-112.6813,-110.4235,-106.4346,-104.4260,-100.7890,-98.1170,-93.3154,-92.4437,-91.2288,-89.4375,323.0000
40.4616,30.0000,-91.5860,-90.9747,-89.1342,-88.0892,-85.6020,-77.0625,-70.8750,-69.9375,-68.9375,-68.3750,-68.0625,1347.0000
40.4616,60.0000,-90.8125,-89.9284,-88.8738,-88.1250,-86.1875,-84.3590,-82.4844,-80.6343,-80.0719,-78.6109,-78.0080,604.0000
40.4616,90.0000,-96.4375,-94.6750,-92.9375,-91.9375,-90.8438,-86.8200,-85.8125,-84.5625,-83.0700,-82.3216,-82.1880,511.0000
40.4616,120.0000,-96.5000,-96.1875,-92.5920,-92.1250,-91.1250,-86.8050,-85.5390,-84.1296,-83.6717,-83.1598,-83.0940,813.0000
40.4617,0.0000,-114.0625,-113.4656,-111.0000,-106.9100,-104.4375,-100.4300,-97.8440,-93.0000,-92.4219,-90.3906,-89.5625,216.0000
40.4617,30.0000,-91.2420,-90.6640,-88.9976,-87.7166,-85.0960,-76.6875,-71.2500,-70.0000,-69.1875,-68.8125,-68.5625,1524.0000
40.4617,60.0000,-94.5620,-90.4430,-89.1876,-87.9375,-85.9375,-83.9450,-83.1250,-81.5576,-80.4375,-78.9992,-78.6330,799.0000
